activity_id,user_id,activity_type,activity_timestamp,channel,anonymous_identity,flagged,flag_reason
ca_0000024,u_00924,post_created,2025-04-21 21:44:00,general,anon_00924,False,
ca_0000025,u_00926,post_created,2025-03-11 10:32:00,sabr,anon_00926,False,
ca_0000026,u_00939,post_created,2025-01-23 17:35:00,habits,anon_00939,False,
ca_0000027,u_00954,post_created,2025-12-31 18:45:00,habits,anon_00954,False,
ca_0000028,u_00987,post_created,2025-06-19 18:11:00,habits,anon_00987,False,
ca_0000029,u_01086,post_created,2025-02-12 14:31:00,gratitude,anon_01086,False,
ca_0000030,u_01138,post_created,2025-07-27 12:54:00,relationships,anon_01138,False,
ca_0000031,u_01153,post_created,2025-03-04 16:50:00,faith,anon_01153,False,
ca_0000032,u_01171,post_created,2025-07-12 15:40:00,habits,anon_01171,False,
ca_0000033,u_01175,post_created,2025-11-14 19:49:00,general,anon_01175,False,
ca_0000034,u_01212,post_created,2025-05-28 18:47:00,habits,anon_01212,False,
ca_0000035,u_01251,post_created,2025-06-30 08:05:00,general,anon_01251,False,
ca_0000036,u_01286,post_created,2026-01-21 18:10:00,faith,anon_01286,False,
ca_0000037,u_01290,post_created,2025-10-01 14:17:00,sabr,anon_01290,False,
ca_0000038,u_01290,post_created,2025-10-04 18:47:00,gratitude,anon_01290,False,
ca_0000039,u_01333,post_created,2025-02-18 17:45:00,faith,anon_01333,False,
ca_0000040,u_01392,post_created,2025-09-29 09:23:00,general,anon_01392,False,
ca_0000041,u_01475,post_created,2025-02-09 17:47:00,purpose,anon_01475,False,
ca_0000042,u_01480,post_created,2025-02-09 21:05:00,general,anon_01480,False,
ca_0000043,u_01518,post_created,2025-07-18 07:42:00,habits,anon_01518,False,
ca_0000044,u_01524,post_created,2025-10-16 17:15:00,relationships,anon_01524,False,
ca_0000045,u_01531,post_created,2025-03-18 17:27:00,shukr,anon_01531,False,
ca_0000046,u_01539,post_created,2025-12-20 17:06:00,shukr,anon_01539,False,
ca_0000047,u_01603,post_created,2025-09-22 12:39:00,faith,anon_01603,False,
ca_0000048,u_01626,post_created,2025-04-27 11:38:00,relationships,anon_01626,False,
ca_0000049,u_01644,post_created,2025-10-06 16:57:00,sabr,anon_01644,False,
ca_0000050,u_01665,post_created,2025-07-03 13:57:00,purpose,anon_01665,False,
ca_0000051,u_01671,post_created,2025-11-08 11:49:00,relationships,anon_01671,False,
ca_0000052,u_01693,post_created,2025-01-20 15:14:00,faith,anon_01693,False,
ca_0000053,u_01694,post_created,2025-01-31 17:00:00,purpose,anon_01694,False,
ca_0000054,u_01698,post_created,2025-08-07 13:13:00,habits,anon_01698,False,
ca_0000055,u_01740,post_created,2025-07-11 07:57:00,gratitude,anon_01740,False,
ca_0000056,u_01742,post_created,2025-05-16 17:01:00,habits,anon_01742,False,
ca_0000057,u_01742,post_created,2025-06-04 15:33:00,purpose,anon_01742,False,
ca_0000058,u_01781,post_created,2025-11-29 11:07:00,sabr,anon_01781,False,
ca_0000059,u_01821,post_created,2025-12-22 12:36:00,faith,anon_01821,False,
ca_0000060,u_01859,post_created,2025-04-14 12:00:00,general,anon_01859,False,
ca_0000061,u_01888,post_created,2025-11-17 21:38:00,sabr,anon_01888,False,
ca_0000062,u_01902,post_created,2025-08-19 22:07:00,gratitude,anon_01902,False,
ca_0000063,u_01936,post_created,2025-10-18 17:46:00,general,anon_01936,False,
ca_0000064,u_01999,post_created,2025-05-07 18:10:00,shukr,anon_01999,False,
ca_0000065,u_02196,post_created,2025-01-22 08:01:00,sabr,anon_02196,False,
ca_0000066,u_02198,post_created,2025-09-26 16:38:00,habits,anon_02198,False,
ca_0000067,u_02202,post_created,2025-10-07 09:26:00,sabr,anon_02202,False,
ca_0000068,u_02278,post_created,2025-12-28 22:01:00,habits,anon_02278,False,
ca_0000069,u_02278,post_created,2025-12-31 13:45:00,purpose,anon_02278,False,
ca_0000070,u_02304,post_created,2025-10-25 16:06:00,purpose,anon_02304,False,
ca_0000071,u_02312,post_created,2025-03-06 17:04:00,general,anon_02312,False,
ca_0000072,u_02312,post_created,2025-03-11 07:25:00,relationships,anon_02312,False,
ca_0000073,u_02353,post_created,2025-01-22 13:23:00,sabr,anon_02353,False,
ca_0000074,u_02469,post_created,2025-11-05 15:20:00,shukr,anon_02469,False,
ca_0000075,u_02473,post_created,2025-03-29 20:40:00,purpose,anon_02473,False,
ca_0000076,u_02475,post_created,2025-08-21 18:27:00,habits,anon_02475,False,
ca_0000077,u_02508,post_created,2025-12-19 15:57:00,sabr,anon_02508,False,
ca_0000078,u_02532,post_created,2025-04-10 16:38:00,relationships,anon_02532,False,
ca_0000079,u_02557,post_created,2025-04-11 10:23:00,gratitude,anon_02557,False,
ca_0000080,u_02618,post_created,2025-09-16 19:15:00,purpose,anon_02618,False,
ca_0000081,u_02684,post_created,2025-11-10 11:53:00,purpose,anon_02684,False,
ca_0000082,u_02699,post_created,2025-09-06 19:49:00,gratitude,anon_02699,False,
ca_0000083,u_02749,post_created,2025-02-11 16:52:00,shukr,anon_02749,False,
ca_0000084,u_02756,post_created,2025-12-29 07:48:00,general,anon_02756,False,
ca_0000085,u_02893,post_created,2025-04-24 17:39:00,shukr,anon_02893,False,
ca_0000086,u_02931,post_created,2025-09-03 08:36:00,relationships,anon_02931,False,
ca_0000087,u_02945,post_created,2025-11-27 14:44:00,general,anon_02945,False,
ca_0000088,u_02955,post_created,2025-05-28 10:31:00,relationships,anon_02955,False,
ca_0000089,u_02956,post_created,2025-12-24 15:39:00,general,anon_02956,False,
ca_0000090,u_02956,post_created,2025-12-29 14:29:00,gratitude,anon_02956,False,
ca_0000091,u_02961,post_created,2025-07-26 13:05:00,faith,anon_02961,False,
ca_0000092,u_02969,post_created,2025-06-04 19:08:00,faith,anon_02969,False,
ca_0000093,u_02974,post_created,2025-11-23 11:26:00,faith,anon_02974,False,
