checkin_id,user_id,checkin_date,mood,faith_state,topic,tone
c_0000075,u_00020,2025-02-13,neutral,,confidence,deeper_faith
c_0000076,u_00020,2025-02-17,good,distant,relationships,light_islamic
c_0000077,u_00020,2025-02-19,very_low,questioning,faith,light_islamic
c_0000078,u_00020,2025-02-25,neutral,questioning,relationships,universal
c_0000079,u_00020,2025-03-01,low,questioning,confidence,light_islamic
c_0000080,u_00020,2025-03-02,good,at_peace,burnout,universal
c_0000081,u_00022,2025-11-02,good,,relationships,light_islamic
c_0000082,u_00022,2025-11-03,grateful,,relationships,universal
c_0000083,u_00022,2025-11-04,good,,anxiety,universal
c_0000084,u_00022,2025-11-08,low,at_peace,anxiety,light_islamic
c_0000085,u_00022,2025-11-11,low,distant,relationships,universal
c_0000086,u_00022,2025-11-14,good,at_peace,anxiety,deeper_faith
c_0000087,u_00022,2025-11-20,neutral,at_peace,purpose,universal
c_0000088,u_00022,2025-11-23,good,questioning,burnout,light_islamic
c_0000089,u_00022,2025-12-01,low,questioning,purpose,universal
c_0000090,u_00031,2025-01-24,grateful,,confidence,light_islamic
c_0000091,u_00031,2025-01-25,neutral,,habits,light_islamic
c_0000092,u_00031,2025-01-28,good,questioning,purpose,light_islamic
c_0000093,u_00031,2025-02-02,good,questioning,anxiety,deeper_faith
c_0000094,u_00031,2025-02-06,low,at_peace,gratitude,light_islamic
c_0000095,u_00031,2025-02-09,good,at_peace,habits,universal
c_0000096,u_00031,2025-02-19,low,at_peace,anxiety,universal
c_0000097,u_00033,2025-07-24,low,,relationships,deeper_faith
c_0000098,u_00033,2025-07-27,low,,gratitude,deeper_faith
c_0000099,u_00033,2025-07-28,very_low,hurting,relationships,light_islamic
c_0000100,u_00033,2025-07-30,neutral,at_peace,purpose,universal
c_0000101,u_00033,2025-07-31,good,hurting,work,universal
c_0000102,u_00033,2025-08-03,good,at_peace,work,deeper_faith
c_0000103,u_00033,2025-08-04,low,at_peace,anxiety,deeper_faith
c_0000104,u_00033,2025-08-06,good,at_peace,anxiety,universal
c_0000105,u_00033,2025-08-07,good,at_peace,self,universal
c_0000106,u_00033,2025-08-10,good,at_peace,anxiety,universal
c_0000107,u_00033,2025-08-18,neutral,questioning,purpose,universal
c_0000108,u_00034,2025-03-14,low,,habits,universal
c_0000109,u_00034,2025-03-16,neutral,,work,deeper_faith
c_0000110,u_00034,2025-03-17,good,,burnout,universal
c_0000111,u_00034,2025-03-18,good,questioning,habits,light_islamic
c_0000112,u_00034,2025-03-25,neutral,distant,work,light_islamic
c_0000113,u_00034,2025-04-08,very_low,at_peace,purpose,light_islamic
c_0000114,u_00040,2025-05-30,grateful,,self,universal
c_0000115,u_00040,2025-05-31,good,,habits,deeper_faith
c_0000116,u_00040,2025-06-02,grateful,,self,light_islamic
c_0000117,u_00040,2025-06-03,good,questioning,burnout,universal
c_0000118,u_00040,2025-06-10,grateful,distant,confidence,universal
c_0000119,u_00040,2025-06-11,neutral,at_peace,anxiety,universal
c_0000120,u_00040,2025-06-12,good,at_peace,habits,light_islamic
c_0000121,u_00040,2025-06-14,neutral,questioning,anxiety,light_islamic
c_0000122,u_00040,2025-06-21,good,at_peace,burnout,universal
c_0000123,u_00042,2025-09-01,grateful,,work,light_islamic
c_0000124,u_00042,2025-09-03,good,,gratitude,light_islamic
c_0000125,u_00042,2025-09-04,neutral,,anxiety,deeper_faith
c_0000126,u_00042,2025-09-06,neutral,questioning,burnout,universal
c_0000127,u_00042,2025-09-10,neutral,at_peace,relationships,universal
c_0000128,u_00042,2025-09-12,neutral,distant,burnout,universal
c_0000129,u_00042,2025-09-18,grateful,at_peace,work,universal
c_0000130,u_00046,2025-09-03,good,,gratitude,deeper_faith
c_0000131,u_00046,2025-09-04,low,,purpose,universal
c_0000132,u_00046,2025-09-07,neutral,distant,purpose,universal
c_0000133,u_00046,2025-09-08,neutral,distant,faith,light_islamic
c_0000134,u_00046,2025-09-10,good,at_peace,faith,deeper_faith
c_0000135,u_00046,2025-09-11,good,at_peace,burnout,light_islamic
c_0000136,u_00046,2025-09-13,good,questioning,habits,universal
c_0000137,u_00046,2025-09-15,neutral,questioning,relationships,universal
c_0000138,u_00046,2025-09-16,low,distant,gratitude,light_islamic
c_0000139,u_00046,2025-09-17,neutral,distant,relationships,light_islamic
c_0000140,u_00046,2025-09-29,neutral,at_peace,work,light_islamic
c_0000141,u_00047,2025-03-11,good,,anxiety,universal
c_0000142,u_00047,2025-03-12,neutral,,confidence,light_islamic
c_0000143,u_00047,2025-03-16,good,at_peace,purpose,light_islamic
c_0000144,u_00047,2025-03-24,low,at_peace,anxiety,universal
c_0000145,u_00047,2025-03-29,good,at_peace,purpose,deeper_faith
c_0000146,u_00047,2025-03-31,grateful,questioning,self,universal
c_0000147,u_00051,2025-11-06,good,,work,light_islamic
c_0000148,u_00051,2025-11-07,neutral,,faith,deeper_faith
c_0000149,u_00051,2025-11-10,neutral,at_peace,confidence,light_islamic
c_0000150,u_00051,2025-11-11,neutral,at_peace,confidence,universal
c_0000151,u_00051,2025-11-13,neutral,questioning,faith,universal
c_0000152,u_00051,2025-11-15,good,at_peace,confidence,universal
c_0000153,u_00051,2025-11-18,good,at_peace,work,light_islamic
c_0000154,u_00051,2025-11-22,good,at_peace,gratitude,universal
c_0000155,u_00051,2025-12-05,neutral,distant,burnout,universal
c_0000156,u_00052,2025-03-03,neutral,,work,universal
c_0000157,u_00052,2025-03-05,good,,purpose,light_islamic
c_0000158,u_00052,2025-03-07,very_low,at_peace,relationships,deeper_faith
c_0000159,u_00052,2025-03-09,good,at_peace,relationships,universal
c_0000160,u_00052,2025-03-10,good,at_peace,faith,universal
c_0000161,u_00052,2025-03-22,grateful,at_peace,anxiety,universal
c_0000162,u_00052,2025-03-31,grateful,hurting,gratitude,deeper_faith
c_0000163,u_00054,2025-04-15,good,,relationships,universal
c_0000164,u_00054,2025-04-16,good,,gratitude,universal
c_0000165,u_00054,2025-04-17,neutral,,confidence,light_islamic
c_0000166,u_00054,2025-04-20,very_low,at_peace,relationships,light_islamic
c_0000167,u_00054,2025-04-22,neutral,distant,faith,deeper_faith
c_0000168,u_00054,2025-04-25,low,at_peace,purpose,light_islamic
c_0000169,u_00054,2025-05-10,very_low,at_peace,anxiety,universal
c_0000170,u_00055,2025-01-07,very_low,,self,deeper_faith
c_0000171,u_00055,2025-01-08,good,,self,light_islamic
c_0000172,u_00055,2025-01-09,grateful,,confidence,deeper_faith
c_0000173,u_00055,2025-01-11,neutral,questioning,faith,universal
c_0000174,u_00055,2025-01-18,good,distant,work,universal
c_0000175,u_00055,2025-02-01,neutral,at_peace,anxiety,light_islamic
c_0000176,u_00056,2025-06-17,good,,work,light_islamic
c_0000177,u_00056,2025-06-21,grateful,hurting,self,deeper_faith
c_0000178,u_00056,2025-06-24,good,distant,habits,universal
c_0000179,u_00056,2025-06-26,neutral,at_peace,work,universal
c_0000180,u_00056,2025-06-29,very_low,at_peace,work,universal
c_0000181,u_00056,2025-07-05,low,distant,anxiety,universal
c_0000182,u_00056,2025-07-15,neutral,questioning,self,universal
c_0000183,u_00056,2025-07-16,neutral,distant,faith,universal
c_0000184,u_00059,2025-11-01,good,,gratitude,universal
c_0000185,u_00059,2025-11-04,good,,confidence,light_islamic
c_0000186,u_00059,2025-11-18,neutral,at_peace,confidence,deeper_faith
c_0000187,u_00059,2025-11-26,grateful,questioning,purpose,deeper_faith
c_0000188,u_00059,2025-11-27,neutral,questioning,burnout,universal
c_0000189,u_00059,2025-11-28,good,at_peace,anxiety,universal
c_0000190,u_00060,2025-06-09,good,,relationships,universal
c_0000191,u_00060,2025-06-10,good,,habits,light_islamic
c_0000192,u_00060,2025-06-14,good,hurting,burnout,light_islamic
c_0000193,u_00060,2025-06-18,low,distant,burnout,universal
c_0000194,u_00060,2025-06-19,good,at_peace,faith,light_islamic
c_0000195,u_00060,2025-06-23,very_low,at_peace,work,universal
c_0000196,u_00060,2025-07-02,very_low,at_peace,purpose,light_islamic
c_0000197,u_00060,2025-07-04,good,distant,anxiety,universal
c_0000198,u_00060,2025-07-05,low,at_peace,anxiety,light_islamic
c_0000199,u_00061,2025-01-19,neutral,,habits,light_islamic
c_0000200,u_00061,2025-01-22,neutral,,self,deeper_faith
c_0000201,u_00061,2025-01-23,neutral,distant,self,light_islamic
c_0000202,u_00061,2025-01-24,very_low,at_peace,self,universal
c_0000203,u_00062,2025-01-30,grateful,,self,light_islamic
c_0000204,u_00062,2025-02-08,neutral,questioning,purpose,light_islamic
c_0000205,u_00062,2025-02-11,good,at_peace,habits,deeper_faith
c_0000206,u_00062,2025-02-14,good,hurting,relationships,universal
c_0000207,u_00062,2025-02-16,good,questioning,faith,light_islamic
c_0000208,u_00062,2025-02-20,low,at_peace,confidence,universal
c_0000209,u_00062,2025-02-25,good,distant,habits,universal
c_0000210,u_00062,2025-02-26,neutral,at_peace,self,light_islamic
c_0000211,u_00063,2025-05-05,neutral,,faith,deeper_faith
c_0000212,u_00063,2025-05-08,low,,confidence,universal
c_0000213,u_00063,2025-05-13,good,at_peace,self,universal
c_0000214,u_00063,2025-05-16,good,questioning,gratitude,deeper_faith
c_0000215,u_00063,2025-06-04,neutral,hurting,work,universal
c_0000216,u_00064,2025-08-08,good,,gratitude,light_islamic
c_0000217,u_00064,2025-08-09,good,,faith,deeper_faith
c_0000218,u_00064,2025-08-13,good,at_peace,gratitude,universal
c_0000219,u_00064,2025-08-14,neutral,distant,work,universal
c_0000220,u_00064,2025-08-15,low,at_peace,work,light_islamic
c_0000221,u_00064,2025-08-17,low,questioning,self,light_islamic
c_0000222,u_00064,2025-08-27,very_low,at_peace,purpose,deeper_faith
c_0000223,u_00066,2025-08-28,low,,habits,deeper_faith
c_0000224,u_00066,2025-08-29,neutral,,gratitude,deeper_faith
c_0000225,u_00066,2025-08-30,neutral,,confidence,light_islamic
c_0000226,u_00066,2025-09-02,neutral,at_peace,work,deeper_faith
c_0000227,u_00066,2025-09-04,neutral,questioning,anxiety,light_islamic
c_0000228,u_00066,2025-09-05,neutral,at_peace,faith,universal
c_0000229,u_00066,2025-09-06,grateful,questioning,burnout,light_islamic
c_0000230,u_00066,2025-09-08,good,questioning,burnout,deeper_faith
c_0000231,u_00066,2025-09-09,grateful,at_peace,work,light_islamic
c_0000232,u_00066,2025-09-12,good,at_peace,burnout,universal
c_0000233,u_00066,2025-09-17,grateful,at_peace,confidence,universal
c_0000234,u_00066,2025-09-19,neutral,at_peace,gratitude,universal
c_0000235,u_00066,2025-09-21,low,distant,burnout,light_islamic
c_0000236,u_00066,2025-09-24,low,at_peace,anxiety,universal
c_0000237,u_00068,2025-06-13,good,,gratitude,light_islamic
c_0000238,u_00068,2025-06-16,low,,anxiety,universal
c_0000239,u_00068,2025-06-17,grateful,at_peace,anxiety,universal
c_0000240,u_00068,2025-06-18,low,at_peace,purpose,universal
c_0000241,u_00068,2025-06-21,grateful,questioning,purpose,universal
c_0000242,u_00068,2025-06-22,neutral,questioning,anxiety,universal
c_0000243,u_00068,2025-07-01,neutral,at_peace,faith,light_islamic
c_0000244,u_00068,2025-07-07,low,distant,burnout,light_islamic
c_0000245,u_00069,2025-06-16,neutral,,anxiety,deeper_faith
c_0000246,u_00069,2025-06-18,low,,gratitude,universal
c_0000247,u_00069,2025-06-20,neutral,at_peace,faith,light_islamic
c_0000248,u_00069,2025-06-21,neutral,at_peace,anxiety,deeper_faith
c_0000249,u_00069,2025-06-23,good,at_peace,anxiety,light_islamic
c_0000250,u_00069,2025-06-25,neutral,at_peace,habits,universal
c_0000251,u_00069,2025-06-26,grateful,at_peace,gratitude,light_islamic
c_0000252,u_00069,2025-07-09,good,at_peace,anxiety,deeper_faith
c_0000253,u_00070,2025-12-05,low,,work,light_islamic
c_0000254,u_00070,2025-12-06,neutral,,burnout,light_islamic
c_0000255,u_00070,2025-12-09,neutral,at_peace,relationships,light_islamic
c_0000256,u_00070,2025-12-13,good,distant,faith,light_islamic
c_0000257,u_00070,2025-12-14,grateful,questioning,habits,light_islamic
c_0000258,u_00070,2025-12-17,good,distant,work,universal
c_0000259,u_00070,2025-12-24,neutral,distant,work,universal
c_0000260,u_00070,2026-01-01,grateful,at_peace,gratitude,light_islamic
c_0000261,u_00073,2025-11-09,grateful,,confidence,universal
c_0000262,u_00073,2025-11-10,grateful,,habits,light_islamic
c_0000263,u_00073,2025-11-11,neutral,,confidence,universal
c_0000264,u_00073,2025-11-14,neutral,at_peace,burnout,light_islamic
c_0000265,u_00073,2025-11-19,neutral,at_peace,purpose,deeper_faith
c_0000266,u_00073,2025-11-29,low,questioning,faith,light_islamic
c_0000267,u_00073,2025-12-01,neutral,distant,gratitude,light_islamic
c_0000268,u_00074,2025-10-23,good,,habits,deeper_faith
c_0000269,u_00074,2025-10-24,neutral,,purpose,deeper_faith
c_0000270,u_00074,2025-10-26,good,,purpose,light_islamic
c_0000271,u_00074,2025-11-01,low,questioning,relationships,light_islamic
c_0000272,u_00074,2025-11-03,neutral,at_peace,confidence,universal
c_0000273,u_00074,2025-11-09,neutral,questioning,purpose,universal
c_0000274,u_00074,2025-11-10,neutral,at_peace,gratitude,universal
c_0000275,u_00074,2025-11-21,low,at_peace,habits,light_islamic
c_0000276,u_00077,2025-02-15,grateful,,work,light_islamic
c_0000277,u_00077,2025-02-16,neutral,,purpose,deeper_faith
c_0000278,u_00077,2025-02-18,low,,self,deeper_faith
c_0000279,u_00077,2025-02-19,grateful,at_peace,burnout,universal
c_0000280,u_00077,2025-02-20,good,distant,work,universal
c_0000281,u_00077,2025-02-21,grateful,questioning,work,light_islamic
c_0000282,u_00077,2025-02-24,low,questioning,relationships,universal
c_0000283,u_00077,2025-02-26,neutral,distant,gratitude,universal
c_0000284,u_00077,2025-03-01,low,hurting,habits,light_islamic
c_0000285,u_00077,2025-03-02,neutral,hurting,work,light_islamic
c_0000286,u_00077,2025-03-16,good,at_peace,self,universal
c_0000287,u_00082,2025-01-10,good,,gratitude,light_islamic
c_0000288,u_00082,2025-01-14,grateful,distant,self,universal
c_0000289,u_00082,2025-01-15,good,at_peace,purpose,deeper_faith
c_0000290,u_00082,2025-01-24,good,at_peace,purpose,universal
c_0000291,u_00082,2025-01-26,good,at_peace,self,light_islamic
c_0000292,u_00082,2025-01-29,grateful,at_peace,faith,universal
c_0000293,u_00083,2025-09-02,neutral,,purpose,light_islamic
c_0000294,u_00083,2025-09-07,grateful,at_peace,purpose,deeper_faith
c_0000295,u_00083,2025-09-09,good,distant,work,deeper_faith
c_0000296,u_00083,2025-09-10,good,questioning,faith,light_islamic
c_0000297,u_00083,2025-09-14,neutral,at_peace,faith,light_islamic
c_0000298,u_00083,2025-09-16,grateful,at_peace,work,deeper_faith
c_0000299,u_00083,2025-09-21,good,at_peace,confidence,universal
c_0000300,u_00083,2025-09-24,good,at_peace,burnout,universal
c_0000301,u_00084,2025-04-06,neutral,,habits,universal
c_0000302,u_00084,2025-04-07,good,,self,universal
c_0000303,u_00084,2025-04-08,neutral,,habits,light_islamic
c_0000304,u_00084,2025-04-09,good,,self,universal
c_0000305,u_00084,2025-04-15,good,at_peace,gratitude,light_islamic
c_0000306,u_00084,2025-04-16,grateful,hurting,habits,light_islamic
c_0000307,u_00084,2025-04-17,neutral,at_peace,relationships,deeper_faith
c_0000308,u_00084,2025-04-19,low,at_peace,confidence,deeper_faith
c_0000309,u_00084,2025-04-20,grateful,questioning,habits,deeper_faith
c_0000310,u_00084,2025-04-28,neutral,at_peace,faith,universal
c_0000311,u_00084,2025-04-29,grateful,questioning,purpose,universal
c_0000312,u_00084,2025-05-03,neutral,distant,gratitude,deeper_faith
c_0000313,u_00089,2025-08-13,neutral,,self,deeper_faith
c_0000314,u_00095,2025-04-04,neutral,,purpose,deeper_faith
c_0000315,u_00095,2025-04-10,low,at_peace,anxiety,deeper_faith
c_0000316,u_00095,2025-04-13,low,questioning,work,light_islamic
c_0000317,u_00095,2025-04-15,good,distant,work,deeper_faith
c_0000318,u_00095,2025-04-16,neutral,distant,relationships,light_islamic
c_0000319,u_00095,2025-04-29,good,at_peace,burnout,universal
c_0000320,u_00096,2025-01-17,good,,faith,universal
c_0000321,u_00096,2025-01-18,neutral,,purpose,universal
c_0000322,u_00096,2025-01-20,low,,faith,universal
c_0000323,u_00096,2025-01-25,neutral,at_peace,gratitude,universal
c_0000324,u_00096,2025-01-27,neutral,at_peace,burnout,light_islamic
c_0000325,u_00096,2025-01-29,good,at_peace,faith,deeper_faith
c_0000326,u_00098,2025-09-05,neutral,,faith,light_islamic
c_0000327,u_00098,2025-09-10,grateful,at_peace,purpose,universal
c_0000328,u_00098,2025-09-13,neutral,questioning,confidence,universal
c_0000329,u_00098,2025-09-28,neutral,at_peace,burnout,light_islamic
c_0000330,u_00098,2025-10-05,neutral,at_peace,work,universal
c_0000331,u_00102,2025-05-21,neutral,,self,universal
c_0000332,u_00102,2025-05-24,good,,habits,universal
c_0000333,u_00102,2025-05-25,very_low,distant,faith,universal
c_0000334,u_00102,2025-05-26,low,questioning,anxiety,light_islamic
c_0000335,u_00102,2025-05-27,low,at_peace,work,light_islamic
c_0000336,u_00102,2025-05-29,low,at_peace,work,universal
c_0000337,u_00102,2025-05-30,low,at_peace,burnout,deeper_faith
c_0000338,u_00102,2025-05-31,good,distant,relationships,universal
c_0000339,u_00102,2025-06-04,grateful,at_peace,self,deeper_faith
c_0000340,u_00102,2025-06-09,low,at_peace,burnout,light_islamic
c_0000341,u_00103,2025-12-23,low,,burnout,universal
c_0000342,u_00103,2025-12-24,low,,burnout,universal
c_0000343,u_00103,2025-12-25,neutral,,burnout,light_islamic
c_0000344,u_00103,2025-12-30,good,at_peace,confidence,universal
c_0000345,u_00103,2026-01-09,low,hurting,gratitude,light_islamic
c_0000346,u_00103,2026-01-10,good,hurting,confidence,light_islamic
c_0000347,u_00103,2026-01-14,low,distant,burnout,light_islamic
c_0000348,u_00103,2026-01-19,good,distant,gratitude,deeper_faith
c_0000349,u_00103,2026-01-22,neutral,at_peace,purpose,light_islamic
c_0000350,u_00104,2025-04-19,grateful,,burnout,universal
c_0000351,u_00104,2025-04-24,very_low,at_peace,purpose,light_islamic
c_0000352,u_00104,2025-05-07,grateful,at_peace,gratitude,universal
c_0000353,u_00104,2025-05-08,good,at_peace,gratitude,universal
c_0000354,u_00110,2025-09-20,good,,burnout,light_islamic
c_0000355,u_00110,2025-09-21,grateful,,relationships,universal
c_0000356,u_00110,2025-09-24,neutral,distant,work,light_islamic
c_0000357,u_00110,2025-09-29,neutral,questioning,confidence,universal
c_0000358,u_00110,2025-10-01,neutral,at_peace,habits,deeper_faith
c_0000359,u_00110,2025-10-02,neutral,at_peace,self,universal
c_0000360,u_00110,2025-10-09,neutral,distant,habits,universal
c_0000361,u_00110,2025-10-11,good,at_peace,burnout,light_islamic
c_0000362,u_00110,2025-10-15,neutral,hurting,habits,universal
c_0000363,u_00110,2025-10-20,low,at_peace,relationships,light_islamic
c_0000364,u_00111,2025-10-23,neutral,,relationships,light_islamic
c_0000365,u_00111,2025-10-25,good,,work,universal
c_0000366,u_00111,2025-10-26,low,,confidence,deeper_faith
c_0000367,u_00111,2025-10-28,neutral,at_peace,habits,deeper_faith
c_0000368,u_00111,2025-10-29,good,questioning,purpose,light_islamic
c_0000369,u_00111,2025-10-30,very_low,questioning,faith,light_islamic
c_0000370,u_00111,2025-11-08,neutral,at_peace,relationships,light_islamic
c_0000371,u_00111,2025-11-09,very_low,at_peace,anxiety,universal
c_0000372,u_00111,2025-11-11,good,distant,gratitude,light_islamic
c_0000373,u_00111,2025-11-18,very_low,questioning,work,universal
c_0000374,u_00123,2025-02-22,low,,faith,light_islamic
c_0000375,u_00123,2025-02-23,good,,burnout,universal
c_0000376,u_00123,2025-02-25,good,,faith,light_islamic
c_0000377,u_00123,2025-02-26,good,distant,relationships,universal
c_0000378,u_00123,2025-03-01,good,distant,anxiety,light_islamic
c_0000379,u_00123,2025-03-03,good,questioning,confidence,light_islamic
c_0000380,u_00123,2025-03-04,good,distant,habits,light_islamic
c_0000381,u_00123,2025-03-08,grateful,hurting,confidence,deeper_faith
c_0000382,u_00123,2025-03-10,low,questioning,purpose,light_islamic
c_0000383,u_00123,2025-03-14,grateful,distant,burnout,light_islamic
c_0000384,u_00125,2025-04-07,grateful,,faith,deeper_faith
c_0000385,u_00125,2025-04-09,neutral,,relationships,light_islamic
c_0000386,u_00125,2025-04-13,neutral,at_peace,burnout,universal
c_0000387,u_00125,2025-04-15,low,at_peace,burnout,deeper_faith
c_0000388,u_00125,2025-04-17,good,at_peace,habits,deeper_faith
c_0000389,u_00125,2025-04-25,neutral,at_peace,relationships,universal
c_0000390,u_00125,2025-04-30,good,at_peace,faith,light_islamic
c_0000391,u_00125,2025-05-04,very_low,questioning,gratitude,deeper_faith
c_0000392,u_00130,2025-03-08,grateful,,confidence,light_islamic
c_0000393,u_00130,2025-03-12,neutral,at_peace,faith,universal
c_0000394,u_00130,2025-03-15,good,at_peace,work,universal
c_0000395,u_00130,2025-03-17,grateful,hurting,work,universal
c_0000396,u_00130,2025-03-19,grateful,at_peace,purpose,light_islamic
c_0000397,u_00130,2025-03-24,neutral,at_peace,gratitude,universal
c_0000398,u_00130,2025-03-25,good,distant,purpose,light_islamic
c_0000399,u_00130,2025-04-01,neutral,distant,purpose,universal
c_0000400,u_00131,2025-06-02,good,,work,universal
c_0000401,u_00131,2025-06-03,neutral,,confidence,universal
c_0000402,u_00131,2025-06-05,good,,self,universal
c_0000403,u_00131,2025-06-09,neutral,distant,anxiety,universal
c_0000404,u_00131,2025-06-10,good,at_peace,burnout,light_islamic
c_0000405,u_00131,2025-06-12,good,at_peace,habits,universal
c_0000406,u_00131,2025-06-17,neutral,at_peace,anxiety,light_islamic
c_0000407,u_00131,2025-06-30,good,questioning,gratitude,light_islamic
c_0000408,u_00131,2025-07-02,low,at_peace,burnout,universal
c_0000409,u_00133,2025-03-20,good,,work,light_islamic
c_0000410,u_00133,2025-03-21,very_low,,self,universal
c_0000411,u_00133,2025-03-23,grateful,,burnout,universal
c_0000412,u_00133,2025-03-24,good,at_peace,anxiety,deeper_faith
c_0000413,u_00133,2025-03-31,good,questioning,work,universal
c_0000414,u_00133,2025-04-14,neutral,at_peace,confidence,universal
c_0000415,u_00133,2025-04-18,low,at_peace,anxiety,universal
c_0000416,u_00134,2025-12-14,grateful,,purpose,universal
c_0000417,u_00134,2025-12-16,neutral,,gratitude,deeper_faith
c_0000418,u_00134,2025-12-22,neutral,at_peace,gratitude,light_islamic
c_0000419,u_00134,2025-12-23,very_low,at_peace,purpose,universal
c_0000420,u_00134,2025-12-28,neutral,questioning,gratitude,universal
c_0000421,u_00134,2026-01-12,good,at_peace,confidence,light_islamic
c_0000422,u_00135,2025-06-08,good,,relationships,universal
c_0000423,u_00135,2025-06-09,grateful,,relationships,light_islamic
