entry_id,user_id,created_at,mood,topic,tone,faith_state,word_count,sentiment_score,sentiment_label,sentiment_analyzed
j_0000021,u_00004,2026-01-02 12:08:00,low,habits,deeper_faith,at_peace,56,0.09,neutral,True
j_0000022,u_00005,2025-11-25 20:00:00,neutral,work,deeper_faith,,199,0.199,positive,True
j_0000023,u_00005,2025-12-05 14:05:00,neutral,relationships,universal,at_peace,21,-0.044,neutral,True
j_0000024,u_00005,2025-12-10 15:10:00,good,work,universal,questioning,67,0.661,positive,True
j_0000025,u_00009,2025-01-07 20:00:00,neutral,self,deeper_faith,,143,-0.333,negative,True
j_0000026,u_00009,2025-01-09 17:26:00,good,purpose,deeper_faith,,84,0.154,positive,True
j_0000027,u_00009,2025-01-15 14:28:00,low,anxiety,deeper_faith,at_peace,175,-0.801,negative,True
j_0000028,u_00009,2025-01-16 14:04:00,neutral,confidence,universal,distant,82,-0.215,negative,True
j_0000029,u_00009,2025-01-20 09:31:00,grateful,anxiety,light_islamic,at_peace,59,0.567,positive,True
j_0000030,u_00009,2025-01-25 19:02:00,neutral,gratitude,universal,at_peace,165,-0.381,negative,True
j_0000031,u_00009,2025-01-27 09:54:00,good,self,light_islamic,at_peace,68,0.662,positive,True
j_0000032,u_00009,2025-01-30 09:59:00,neutral,self,universal,at_peace,65,0.296,positive,True
j_0000033,u_00010,2025-07-06 14:12:00,neutral,faith,light_islamic,,40,-0.283,negative,True
j_0000034,u_00010,2025-07-11 19:09:00,good,work,universal,at_peace,48,0.042,neutral,True
j_0000035,u_00010,2025-07-13 10:01:00,grateful,burnout,light_islamic,distant,67,0.379,positive,True
j_0000036,u_00010,2025-07-14 11:04:00,very_low,faith,light_islamic,at_peace,133,-0.917,negative,True
j_0000037,u_00010,2025-07-15 11:28:00,low,work,light_islamic,distant,22,-0.409,negative,True
j_0000038,u_00010,2025-07-17 17:27:00,good,burnout,deeper_faith,distant,52,0.561,positive,True
j_0000039,u_00010,2025-07-19 22:05:00,very_low,burnout,universal,at_peace,84,-0.53,negative,True
j_0000040,u_00010,2025-07-29 21:39:00,good,purpose,universal,at_peace,68,0.013,neutral,True
j_0000041,u_00011,2025-08-17 20:30:00,neutral,faith,light_islamic,,66,0.283,positive,True
j_0000042,u_00011,2025-08-24 21:30:00,very_low,work,light_islamic,questioning,226,-0.848,negative,True
j_0000043,u_00011,2025-09-02 10:03:00,low,self,deeper_faith,hurting,46,0.164,positive,True
j_0000044,u_00011,2025-09-08 11:29:00,neutral,faith,universal,distant,46,0.282,positive,True
j_0000045,u_00016,2025-02-25 20:34:00,neutral,work,light_islamic,,101,-0.26,negative,True
j_0000046,u_00016,2025-02-28 10:57:00,neutral,purpose,light_islamic,,109,0.305,positive,True
j_0000047,u_00016,2025-03-01 21:06:00,very_low,self,deeper_faith,questioning,54,-0.503,negative,True
j_0000048,u_00016,2025-03-02 11:53:00,good,work,light_islamic,at_peace,80,0.309,positive,True
j_0000049,u_00016,2025-03-13 14:13:00,neutral,anxiety,light_islamic,at_peace,73,-0.502,negative,True
j_0000050,u_00018,2025-01-25 19:39:00,good,burnout,universal,,103,0.471,positive,True
j_0000051,u_00018,2025-01-31 18:21:00,very_low,purpose,light_islamic,at_peace,180,-0.091,neutral,True
j_0000052,u_00018,2025-02-02 11:15:00,neutral,confidence,deeper_faith,questioning,92,-0.143,neutral,True
j_0000053,u_00018,2025-02-05 09:00:00,low,work,deeper_faith,hurting,24,0.223,positive,True
j_0000054,u_00018,2025-02-06 08:33:00,good,confidence,universal,questioning,25,0.865,positive,True
j_0000055,u_00019,2025-05-05 10:19:00,good,anxiety,light_islamic,,55,0.825,positive,True
j_0000056,u_00019,2025-05-07 17:23:00,good,gratitude,light_islamic,,36,0.382,positive,True
j_0000057,u_00019,2025-05-08 07:37:00,good,anxiety,universal,,65,0.142,neutral,True
j_0000058,u_00019,2025-05-10 07:24:00,neutral,anxiety,light_islamic,hurting,34,0.045,neutral,True
j_0000059,u_00020,2025-02-17 19:59:00,good,relationships,light_islamic,distant,69,0.199,positive,True
j_0000060,u_00020,2025-03-02 08:35:00,good,burnout,universal,at_peace,34,0.232,positive,True
j_0000061,u_00022,2025-11-02 09:22:00,good,relationships,light_islamic,,12,0.195,positive,True
j_0000062,u_00022,2025-11-03 10:12:00,grateful,relationships,universal,,208,0.269,positive,True
j_0000063,u_00022,2025-11-04 18:50:00,good,anxiety,universal,,94,0.361,positive,True
j_0000064,u_00022,2025-11-11 20:56:00,low,relationships,universal,distant,87,0.155,positive,True
j_0000065,u_00022,2025-11-20 10:21:00,neutral,purpose,universal,at_peace,234,-0.225,negative,True
j_0000066,u_00022,2025-11-23 07:56:00,good,burnout,light_islamic,questioning,74,0.533,positive,True
j_0000067,u_00022,2025-12-01 13:32:00,low,purpose,universal,questioning,117,-0.136,neutral,True
j_0000068,u_00031,2025-01-24 14:18:00,grateful,confidence,light_islamic,,84,0.428,positive,True
j_0000069,u_00031,2025-02-02 15:32:00,good,anxiety,deeper_faith,questioning,64,0.293,positive,True
j_0000070,u_00031,2025-02-06 20:43:00,low,gratitude,light_islamic,at_peace,77,-0.49,negative,True
j_0000071,u_00031,2025-02-09 08:05:00,good,habits,universal,at_peace,74,0.427,positive,True
j_0000072,u_00031,2025-02-19 10:16:00,low,anxiety,universal,at_peace,70,-0.503,negative,True
j_0000073,u_00033,2025-07-27 09:58:00,low,gratitude,deeper_faith,,94,0.001,neutral,True
j_0000074,u_00033,2025-07-30 11:26:00,neutral,purpose,universal,at_peace,77,0.038,neutral,True
j_0000075,u_00033,2025-07-31 12:30:00,good,work,universal,hurting,21,0.316,positive,True
j_0000076,u_00033,2025-08-04 15:20:00,low,anxiety,deeper_faith,at_peace,81,-0.397,negative,True
j_0000077,u_00033,2025-08-06 19:43:00,good,anxiety,universal,at_peace,62,0.368,positive,True
j_0000078,u_00034,2025-03-14 16:57:00,low,habits,universal,,18,-0.029,neutral,True
j_0000079,u_00034,2025-03-16 15:54:00,neutral,work,deeper_faith,,41,-0.008,neutral,True
j_0000080,u_00034,2025-03-17 19:18:00,good,burnout,universal,,28,-0.14,neutral,True
j_0000081,u_00034,2025-03-18 13:57:00,good,habits,light_islamic,questioning,90,0.145,neutral,True
j_0000082,u_00040,2025-05-30 20:34:00,grateful,self,universal,,60,0.169,positive,True
j_0000083,u_00040,2025-06-02 10:48:00,grateful,self,light_islamic,,77,0.255,positive,True
j_0000084,u_00040,2025-06-03 17:03:00,good,burnout,universal,questioning,52,0.516,positive,True
j_0000085,u_00040,2025-06-10 20:45:00,grateful,confidence,universal,distant,337,0.542,positive,True
j_0000086,u_00040,2025-06-11 11:46:00,neutral,anxiety,universal,at_peace,188,0.092,neutral,True
j_0000087,u_00040,2025-06-14 07:54:00,neutral,anxiety,light_islamic,questioning,101,0.017,neutral,True
j_0000088,u_00040,2025-06-21 16:33:00,good,burnout,universal,at_peace,36,0.288,positive,True
j_0000089,u_00042,2025-09-01 09:49:00,grateful,work,light_islamic,,72,0.475,positive,True
j_0000090,u_00042,2025-09-03 09:35:00,good,gratitude,light_islamic,,161,0.196,positive,True
j_0000091,u_00042,2025-09-04 15:14:00,neutral,anxiety,deeper_faith,,57,-0.114,neutral,True
j_0000092,u_00042,2025-09-06 19:48:00,neutral,burnout,universal,questioning,73,-0.31,negative,True
j_0000093,u_00042,2025-09-10 08:02:00,neutral,relationships,universal,at_peace,75,0.327,positive,True
j_0000094,u_00042,2025-09-12 08:06:00,neutral,burnout,universal,distant,37,0.081,neutral,True
j_0000095,u_00042,2025-09-18 21:27:00,grateful,work,universal,at_peace,131,0.623,positive,True
j_0000096,u_00046,2025-09-03 21:35:00,good,gratitude,deeper_faith,,33,-0.13,neutral,True
j_0000097,u_00046,2025-09-07 09:46:00,neutral,purpose,universal,distant,66,-0.307,negative,True
j_0000098,u_00046,2025-09-08 16:10:00,neutral,faith,light_islamic,distant,24,0.22,positive,True
j_0000099,u_00046,2025-09-10 21:39:00,good,faith,deeper_faith,at_peace,41,0.518,positive,True
j_0000100,u_00046,2025-09-11 14:05:00,good,burnout,light_islamic,at_peace,45,0.432,positive,True
j_0000101,u_00046,2025-09-15 13:34:00,neutral,relationships,universal,questioning,139,-0.211,negative,True
j_0000102,u_00046,2025-09-16 14:43:00,low,gratitude,light_islamic,distant,59,-0.122,neutral,True
j_0000103,u_00047,2025-03-11 13:42:00,good,anxiety,universal,,94,0.239,positive,True
j_0000104,u_00047,2025-03-12 09:41:00,neutral,confidence,light_islamic,,371,0.007,neutral,True
j_0000105,u_00047,2025-03-16 14:32:00,good,purpose,light_islamic,at_peace,66,0.46,positive,True
j_0000106,u_00047,2025-03-24 16:46:00,low,anxiety,universal,at_peace,16,-0.575,negative,True
j_0000107,u_00047,2025-03-31 08:46:00,grateful,self,universal,questioning,91,0.403,positive,True
j_0000108,u_00051,2025-11-06 13:34:00,good,work,light_islamic,,117,0.536,positive,True
j_0000109,u_00051,2025-11-07 22:06:00,neutral,faith,deeper_faith,,36,-0.045,neutral,True
j_0000110,u_00051,2025-11-11 15:39:00,neutral,confidence,universal,at_peace,60,0.637,positive,True
j_0000111,u_00051,2025-11-13 20:20:00,neutral,faith,universal,questioning,75,-0.08,neutral,True
j_0000112,u_00051,2025-11-18 13:09:00,good,work,light_islamic,at_peace,75,0.144,neutral,True
j_0000113,u_00051,2025-11-22 11:01:00,good,gratitude,universal,at_peace,47,0.159,positive,True
j_0000114,u_00051,2025-12-05 18:01:00,neutral,burnout,universal,distant,80,-0.148,neutral,True
j_0000115,u_00052,2025-03-03 08:24:00,neutral,work,universal,,201,0.073,neutral,True
j_0000116,u_00052,2025-03-05 15:12:00,good,purpose,light_islamic,,69,-0.016,neutral,True
j_0000117,u_00052,2025-03-07 20:47:00,very_low,relationships,deeper_faith,at_peace,12,-0.822,negative,True
j_0000118,u_00052,2025-03-09 21:21:00,good,relationships,universal,at_peace,118,0.545,positive,True
j_0000119,u_00052,2025-03-22 18:45:00,grateful,anxiety,universal,at_peace,177,0.589,positive,True
j_0000120,u_00052,2025-03-31 21:11:00,grateful,gratitude,deeper_faith,hurting,193,0.531,positive,True
j_0000121,u_00054,2025-04-17 12:32:00,neutral,confidence,light_islamic,,91,-0.339,negative,True
j_0000122,u_00054,2025-04-20 13:44:00,very_low,relationships,light_islamic,at_peace,76,-0.458,negative,True
j_0000123,u_00054,2025-04-22 09:20:00,neutral,faith,deeper_faith,distant,76,-0.078,neutral,True
j_0000124,u_00054,2025-04-25 12:58:00,low,purpose,light_islamic,at_peace,46,0.251,positive,True
j_0000125,u_00055,2025-01-07 14:00:00,very_low,self,deeper_faith,,107,-0.405,negative,True
j_0000126,u_00055,2025-01-09 21:51:00,grateful,confidence,deeper_faith,,34,0.486,positive,True
j_0000127,u_00055,2025-01-11 11:37:00,neutral,faith,universal,questioning,55,-0.245,negative,True
j_0000128,u_00055,2025-01-18 10:52:00,good,work,universal,distant,70,0.67,positive,True
j_0000129,u_00056,2025-06-17 14:43:00,good,work,light_islamic,,38,-0.181,negative,True
j_0000130,u_00056,2025-06-21 18:08:00,grateful,self,deeper_faith,hurting,78,0.579,positive,True
j_0000131,u_00056,2025-07-15 17:17:00,neutral,self,universal,questioning,53,0.163,positive,True
j_0000132,u_00059,2025-11-01 14:45:00,good,gratitude,universal,,42,-0.032,neutral,True
j_0000133,u_00059,2025-11-04 12:49:00,good,confidence,light_islamic,,155,0.176,positive,True
j_0000134,u_00059,2025-11-18 21:03:00,neutral,confidence,deeper_faith,at_peace,182,0.011,neutral,True
j_0000135,u_00059,2025-11-26 08:33:00,grateful,purpose,deeper_faith,questioning,85,0.427,positive,True
j_0000136,u_00059,2025-11-27 19:34:00,neutral,burnout,universal,questioning,30,-0.181,negative,True
j_0000137,u_00060,2025-06-09 21:56:00,good,relationships,universal,,165,0.392,positive,True
j_0000138,u_00060,2025-06-10 08:58:00,good,habits,light_islamic,,32,0.149,neutral,True
j_0000139,u_00060,2025-06-18 16:08:00,low,burnout,universal,distant,90,-0.169,negative,True
j_0000140,u_00060,2025-06-19 07:17:00,good,faith,light_islamic,at_peace,29,0.216,positive,True
j_0000141,u_00060,2025-06-23 22:12:00,very_low,work,universal,at_peace,43,-0.609,negative,True
j_0000142,u_00060,2025-07-05 21:57:00,low,anxiety,light_islamic,at_peace,36,-0.238,negative,True
j_0000143,u_00061,2025-01-19 16:33:00,neutral,habits,light_islamic,,487,-0.13,neutral,True
j_0000144,u_00061,2025-01-22 21:03:00,neutral,self,deeper_faith,,114,0.242,positive,True
j_0000145,u_00061,2025-01-23 22:01:00,neutral,self,light_islamic,distant,39,-0.135,neutral,True
j_0000146,u_00061,2025-01-24 12:54:00,very_low,self,universal,at_peace,159,-0.784,negative,True
j_0000147,u_00062,2025-01-30 12:56:00,grateful,self,light_islamic,,59,0.592,positive,True
j_0000148,u_00062,2025-02-08 19:16:00,neutral,purpose,light_islamic,questioning,53,0.058,neutral,True
j_0000149,u_00062,2025-02-11 10:18:00,good,habits,deeper_faith,at_peace,62,0.097,neutral,True
j_0000150,u_00062,2025-02-14 16:30:00,good,relationships,universal,hurting,178,-0.048,neutral,True
j_0000151,u_00062,2025-02-16 16:03:00,good,faith,light_islamic,questioning,48,0.165,positive,True
j_0000152,u_00062,2025-02-25 12:42:00,good,habits,universal,distant,101,0.213,positive,True
j_0000153,u_00062,2025-02-26 19:21:00,neutral,self,light_islamic,at_peace,152,-0.013,neutral,True
j_0000154,u_00063,2025-05-05 07:30:00,neutral,faith,deeper_faith,,154,-0.297,negative,True
j_0000155,u_00063,2025-05-08 13:27:00,low,confidence,universal,,44,-0.071,neutral,True
j_0000156,u_00063,2025-05-13 21:02:00,good,self,universal,at_peace,67,0.267,positive,True
j_0000157,u_00063,2025-05-16 14:18:00,good,gratitude,deeper_faith,questioning,131,0.136,neutral,True
j_0000158,u_00063,2025-06-04 08:52:00,neutral,work,universal,hurting,100,0.066,neutral,True
j_0000159,u_00064,2025-08-09 14:38:00,good,faith,deeper_faith,,131,0.086,neutral,True
j_0000160,u_00064,2025-08-13 16:00:00,good,gratitude,universal,at_peace,37,0.256,positive,True
j_0000161,u_00064,2025-08-14 08:37:00,neutral,work,universal,distant,78,-0.277,negative,True
j_0000162,u_00064,2025-08-15 08:28:00,low,work,light_islamic,at_peace,147,-0.142,neutral,True
j_0000163,u_00064,2025-08-17 09:34:00,low,self,light_islamic,questioning,220,0.39,positive,True
j_0000164,u_00064,2025-08-27 11:48:00,very_low,purpose,deeper_faith,at_peace,41,-0.666,negative,True
j_0000165,u_00066,2025-08-28 08:07:00,low,habits,deeper_faith,,15,-0.536,negative,True
j_0000166,u_00066,2025-09-02 15:28:00,neutral,work,deeper_faith,at_peace,164,-0.265,negative,True
j_0000167,u_00066,2025-09-05 09:08:00,neutral,faith,universal,at_peace,101,0.105,neutral,True
j_0000168,u_00066,2025-09-06 20:21:00,grateful,burnout,light_islamic,questioning,71,0.209,positive,True
j_0000169,u_00066,2025-09-08 09:52:00,good,burnout,deeper_faith,questioning,230,0.098,neutral,True
j_0000170,u_00066,2025-09-09 18:30:00,grateful,work,light_islamic,at_peace,201,0.502,positive,True
j_0000171,u_00066,2025-09-17 20:18:00,grateful,confidence,universal,at_peace,59,0.854,positive,True
j_0000172,u_00066,2025-09-19 08:12:00,neutral,gratitude,universal,at_peace,79,-0.152,negative,True
j_0000173,u_00068,2025-06-13 20:24:00,good,gratitude,light_islamic,,153,0.654,positive,True
j_0000174,u_00068,2025-06-16 19:59:00,low,anxiety,universal,,180,-0.374,negative,True
j_0000175,u_00068,2025-06-17 12:27:00,grateful,anxiety,universal,at_peace,143,0.415,positive,True
j_0000176,u_00068,2025-06-18 21:56:00,low,purpose,universal,at_peace,50,-0.214,negative,True
j_0000177,u_00068,2025-06-21 14:58:00,grateful,purpose,universal,questioning,78,0.38,positive,True
j_0000178,u_00068,2025-07-01 15:46:00,neutral,faith,light_islamic,at_peace,74,0.216,positive,True
j_0000179,u_00068,2025-07-07 07:27:00,low,burnout,light_islamic,distant,83,-0.46,negative,True
j_0000180,u_00069,2025-06-16 17:42:00,neutral,anxiety,deeper_faith,,27,0.121,neutral,True
j_0000181,u_00069,2025-06-20 09:15:00,neutral,faith,light_islamic,at_peace,21,-0.222,negative,True
j_0000182,u_00069,2025-06-21 15:33:00,neutral,anxiety,deeper_faith,at_peace,37,-0.74,negative,True
j_0000183,u_00069,2025-06-23 08:57:00,good,anxiety,light_islamic,at_peace,44,-0.119,neutral,True
j_0000184,u_00069,2025-06-25 17:10:00,neutral,habits,universal,at_peace,163,-0.015,neutral,True
j_0000185,u_00069,2025-06-26 19:50:00,grateful,gratitude,light_islamic,at_peace,128,0.35,positive,True
j_0000186,u_00069,2025-07-09 12:56:00,good,anxiety,deeper_faith,at_peace,156,-0.147,neutral,True
j_0000187,u_00070,2025-12-09 11:19:00,neutral,relationships,light_islamic,at_peace,134,-0.016,neutral,True
j_0000188,u_00070,2025-12-13 09:47:00,good,faith,light_islamic,distant,156,0.497,positive,True
j_0000189,u_00070,2025-12-14 09:28:00,grateful,habits,light_islamic,questioning,100,0.812,positive,True
j_0000190,u_00070,2025-12-17 10:17:00,good,work,universal,distant,187,0.361,positive,True
j_0000191,u_00070,2025-12-24 12:39:00,neutral,work,universal,distant,139,-0.007,neutral,True
j_0000192,u_00073,2025-11-10 18:20:00,grateful,habits,light_islamic,,155,0.094,neutral,True
j_0000193,u_00073,2025-11-11 17:56:00,neutral,confidence,universal,,55,-0.011,neutral,True
j_0000194,u_00073,2025-11-14 19:12:00,neutral,burnout,light_islamic,at_peace,25,0.354,positive,True
j_0000195,u_00073,2025-11-19 19:01:00,neutral,purpose,deeper_faith,at_peace,46,0.19,positive,True
j_0000196,u_00073,2025-11-29 13:51:00,low,faith,light_islamic,questioning,78,-0.385,negative,True
j_0000197,u_00073,2025-12-01 17:51:00,neutral,gratitude,light_islamic,distant,15,-0.061,neutral,True
j_0000198,u_00074,2025-10-24 07:13:00,neutral,purpose,deeper_faith,,46,0.04,neutral,True
j_0000199,u_00074,2025-11-03 11:59:00,neutral,confidence,universal,at_peace,19,-0.01,neutral,True
j_0000200,u_00074,2025-11-09 08:16:00,neutral,purpose,universal,questioning,80,0.228,positive,True
j_0000201,u_00074,2025-11-10 18:04:00,neutral,gratitude,universal,at_peace,87,0.12,neutral,True
j_0000202,u_00077,2025-02-15 09:30:00,grateful,work,light_islamic,,92,0.668,positive,True
j_0000203,u_00077,2025-02-16 21:35:00,neutral,purpose,deeper_faith,,150,-0.134,neutral,True
j_0000204,u_00077,2025-02-18 10:04:00,low,self,deeper_faith,,39,-0.378,negative,True
j_0000205,u_00077,2025-02-19 12:07:00,grateful,burnout,universal,at_peace,152,0.632,positive,True
j_0000206,u_00077,2025-02-21 10:07:00,grateful,work,light_islamic,questioning,27,0.255,positive,True
j_0000207,u_00077,2025-02-24 15:45:00,low,relationships,universal,questioning,204,-0.283,negative,True
j_0000208,u_00077,2025-02-26 18:35:00,neutral,gratitude,universal,distant,57,0.456,positive,True
j_0000209,u_00077,2025-03-01 10:58:00,low,habits,light_islamic,hurting,75,-0.218,negative,True
j_0000210,u_00077,2025-03-02 08:17:00,neutral,work,light_islamic,hurting,38,0.254,positive,True
j_0000211,u_00077,2025-03-16 14:07:00,good,self,universal,at_peace,129,0.164,positive,True
j_0000212,u_00082,2025-01-10 19:43:00,good,gratitude,light_islamic,,182,0.395,positive,True
j_0000213,u_00082,2025-01-14 13:17:00,grateful,self,universal,distant,72,0.331,positive,True
j_0000214,u_00082,2025-01-26 07:22:00,good,self,light_islamic,at_peace,144,0.549,positive,True
j_0000215,u_00082,2025-01-29 14:41:00,grateful,faith,universal,at_peace,41,0.43,positive,True
j_0000216,u_00083,2025-09-02 07:50:00,neutral,purpose,light_islamic,,82,0.592,positive,True
j_0000217,u_00083,2025-09-10 10:03:00,good,faith,light_islamic,questioning,13,0.704,positive,True
j_0000218,u_00083,2025-09-14 20:21:00,neutral,faith,light_islamic,at_peace,66,0.127,neutral,True
j_0000219,u_00083,2025-09-21 18:31:00,good,confidence,universal,at_peace,97,0.203,positive,True
j_0000220,u_00083,2025-09-24 07:54:00,good,burnout,universal,at_peace,43,0.134,neutral,True
j_0000221,u_00084,2025-04-06 17:14:00,neutral,habits,universal,,91,0.004,neutral,True
j_0000222,u_00084,2025-04-07 19:06:00,good,self,universal,,80,0.28,positive,True
j_0000223,u_00084,2025-04-09 09:59:00,good,self,universal,,56,0.555,positive,True
j_0000224,u_00084,2025-04-15 12:34:00,good,gratitude,light_islamic,at_peace,38,0.508,positive,True
j_0000225,u_00084,2025-04-16 10:06:00,grateful,habits,light_islamic,hurting,46,0.697,positive,True
j_0000226,u_00084,2025-04-19 10:08:00,low,confidence,deeper_faith,at_peace,53,-0.177,negative,True
j_0000227,u_00084,2025-04-20 12:48:00,grateful,habits,deeper_faith,questioning,122,0.214,positive,True
j_0000228,u_00084,2025-04-28 15:23:00,neutral,faith,universal,at_peace,113,-0.155,negative,True
j_0000229,u_00084,2025-05-03 14:55:00,neutral,gratitude,deeper_faith,distant,184,-0.072,neutral,True
j_0000230,u_00089,2025-08-13 20:35:00,neutral,self,deeper_faith,,19,0.185,positive,True
j_0000231,u_00095,2025-04-04 07:52:00,neutral,purpose,deeper_faith,,234,0.032,neutral,True
j_0000232,u_00095,2025-04-10 16:16:00,low,anxiety,deeper_faith,at_peace,47,-0.267,negative,True
j_0000233,u_00095,2025-04-15 14:27:00,good,work,deeper_faith,distant,84,-0.19,negative,True
j_0000234,u_00096,2025-01-18 19:34:00,neutral,purpose,universal,,87,0.279,positive,True
j_0000235,u_00096,2025-01-20 14:10:00,low,faith,universal,,89,-0.797,negative,True
j_0000236,u_00096,2025-01-25 17:19:00,neutral,gratitude,universal,at_peace,201,0.054,neutral,True
j_0000237,u_00096,2025-01-27 14:51:00,neutral,burnout,light_islamic,at_peace,17,0.726,positive,True
j_0000238,u_00096,2025-01-29 14:49:00,good,faith,deeper_faith,at_peace,87,0.276,positive,True
j_0000239,u_00098,2025-09-05 18:35:00,neutral,faith,light_islamic,,62,0.177,positive,True
j_0000240,u_00098,2025-09-10 11:41:00,grateful,purpose,universal,at_peace,58,0.911,positive,True
j_0000241,u_00098,2025-09-13 16:28:00,neutral,confidence,universal,questioning,45,-0.261,negative,True
j_0000242,u_00098,2025-09-28 18:31:00,neutral,burnout,light_islamic,at_peace,26,-0.454,negative,True
j_0000243,u_00098,2025-10-05 18:58:00,neutral,work,universal,at_peace,239,-0.235,negative,True
j_0000244,u_00102,2025-05-21 11:13:00,neutral,self,universal,,86,0.08,neutral,True
j_0000245,u_00102,2025-05-24 09:18:00,good,habits,universal,,30,-0.079,neutral,True
j_0000246,u_00102,2025-05-25 16:22:00,very_low,faith,universal,distant,67,-0.883,negative,True
j_0000247,u_00102,2025-05-26 18:53:00,low,anxiety,light_islamic,questioning,31,-0.246,negative,True
j_0000248,u_00102,2025-05-29 20:39:00,low,work,universal,at_peace,68,-0.143,neutral,True
j_0000249,u_00102,2025-05-31 19:35:00,good,relationships,universal,distant,49,0.337,positive,True
j_0000250,u_00102,2025-06-04 20:34:00,grateful,self,deeper_faith,at_peace,52,0.633,positive,True
j_0000251,u_00103,2025-12-23 12:06:00,low,burnout,universal,,28,-0.322,negative,True
j_0000252,u_00103,2025-12-24 21:05:00,low,burnout,universal,,42,-0.137,neutral,True
j_0000253,u_00103,2025-12-25 09:21:00,neutral,burnout,light_islamic,,73,0.043,neutral,True
j_0000254,u_00103,2025-12-30 11:25:00,good,confidence,universal,at_peace,30,0.308,positive,True
j_0000255,u_00103,2026-01-09 10:28:00,low,gratitude,light_islamic,hurting,64,-0.44,negative,True
j_0000256,u_00103,2026-01-10 18:06:00,good,confidence,light_islamic,hurting,20,0.351,positive,True
j_0000257,u_00103,2026-01-14 21:01:00,low,burnout,light_islamic,distant,54,-0.547,negative,True
j_0000258,u_00103,2026-01-19 21:16:00,good,gratitude,deeper_faith,distant,82,0.222,positive,True
j_0000259,u_00104,2025-04-19 08:46:00,grateful,burnout,universal,,72,0.34,positive,True
j_0000260,u_00104,2025-04-24 09:00:00,very_low,purpose,light_islamic,at_peace,24,-0.509,negative,True
j_0000261,u_00104,2025-05-08 10:17:00,good,gratitude,universal,at_peace,52,0.081,neutral,True
j_0000262,u_00110,2025-09-20 16:24:00,good,burnout,light_islamic,,75,0.081,neutral,True
j_0000263,u_00110,2025-09-21 19:19:00,grateful,relationships,universal,,187,0.423,positive,True
j_0000264,u_00110,2025-09-24 15:20:00,neutral,work,light_islamic,distant,74,0.267,positive,True
j_0000265,u_00110,2025-09-29 12:36:00,neutral,confidence,universal,questioning,143,0.034,neutral,True
j_0000266,u_00110,2025-10-01 18:51:00,neutral,habits,deeper_faith,at_peace,75,0.053,neutral,True
j_0000267,u_00110,2025-10-02 15:33:00,neutral,self,universal,at_peace,110,0.241,positive,True
j_0000268,u_00110,2025-10-09 10:01:00,neutral,habits,universal,distant,50,-0.404,negative,True
j_0000269,u_00110,2025-10-15 09:10:00,neutral,habits,universal,hurting,16,0.089,neutral,True
j_0000270,u_00110,2025-10-20 11:50:00,low,relationships,light_islamic,at_peace,25,-0.451,negative,True
j_0000271,u_00111,2025-10-23 17:53:00,neutral,relationships,light_islamic,,30,0.167,positive,True
j_0000272,u_00111,2025-10-25 17:47:00,good,work,universal,,31,0.627,positive,True
j_0000273,u_00111,2025-10-26 08:08:00,low,confidence,deeper_faith,,120,-0.584,negative,True
j_0000274,u_00111,2025-10-28 22:15:00,neutral,habits,deeper_faith,at_peace,201,0.014,neutral,True
