notification_id,user_id,sent_at,notification_type,delivery_status,tapped,tapped_at
n_0000029,u_00342,2025-11-18 20:00:00,daily_reflection,delivered,False,
n_0000030,u_02979,2025-06-19 10:00:00,programme_day,delivered,False,
n_0000031,u_02979,2025-06-24 20:00:00,daily_reflection,delivered,False,
n_0000032,u_02979,2025-06-20 13:00:00,inspire,delivered,False,
n_0000033,u_00051,2025-12-06 16:00:00,inspire,delivered,False,
n_0000034,u_01950,2025-10-20 08:00:00,inspire,delivered,False,
n_0000035,u_01950,2025-10-09 08:00:00,daily_reflection,delivered,False,
n_0000036,u_01729,2025-11-21 16:00:00,inspire,delivered,True,2025-11-21 18:25:00
n_0000037,u_01729,2025-11-30 11:00:00,daily_reflection,delivered,True,2025-11-30 13:44:00
n_0000038,u_01729,2025-11-27 11:00:00,programme_day,delivered,False,
n_0000039,u_01945,2026-01-06 08:00:00,inspire,delivered,False,
n_0000040,u_01945,2025-12-19 20:00:00,daily_reflection,delivered,False,
n_0000041,u_01945,2026-01-02 15:00:00,inspire,delivered,False,
n_0000042,u_02664,2025-02-10 19:00:00,inspire,delivered,False,
n_0000043,u_02942,2025-07-05 19:00:00,daily_reflection,delivered,False,
n_0000044,u_02942,2025-07-04 20:00:00,daily_reflection,delivered,False,
n_0000045,u_01022,2025-08-08 19:00:00,daily_reflection,delivered,False,
n_0000046,u_01022,2025-08-17 18:00:00,daily_reflection,delivered,False,
n_0000047,u_01033,2025-03-21 12:00:00,daily_reflection,delivered,False,
n_0000048,u_01033,2025-03-22 18:00:00,programme_day,delivered,False,
n_0000049,u_01033,2025-03-07 14:00:00,inspire,delivered,False,
n_0000050,u_02317,2026-01-09 13:00:00,programme_day,delivered,False,
n_0000051,u_02815,2025-09-28 08:00:00,daily_reflection,delivered,False,
n_0000052,u_02815,2025-09-03 20:00:00,daily_reflection,delivered,False,
n_0000053,u_02815,2025-09-03 11:00:00,inspire,delivered,False,
n_0000054,u_00757,2025-12-06 17:00:00,programme_day,delivered,True,2025-12-06 19:25:00
n_0000055,u_00757,2025-12-09 19:00:00,inspire,delivered,False,
n_0000056,u_02906,2025-09-09 09:00:00,inspire,delivered,False,
n_0000057,u_01654,2025-12-09 10:00:00,inspire,delivered,False,
n_0000058,u_01654,2025-12-14 17:00:00,inspire,delivered,False,
n_0000059,u_01654,2025-12-04 11:00:00,inspire,delivered,False,
n_0000060,u_01520,2025-12-20 18:00:00,inspire,delivered,False,
n_0000061,u_01520,2025-12-05 19:00:00,daily_reflection,delivered,False,
n_0000062,u_01344,2025-10-26 14:00:00,daily_reflection,delivered,True,2025-10-26 14:07:00
n_0000063,u_01344,2025-10-16 20:00:00,inspire,delivered,False,
n_0000064,u_01344,2025-10-29 09:00:00,programme_day,delivered,False,
n_0000065,u_01330,2025-06-25 16:00:00,inspire,delivered,True,2025-06-25 17:49:00
n_0000066,u_00503,2025-05-27 19:00:00,daily_reflection,delivered,False,
n_0000067,u_01375,2025-06-24 19:00:00,inspire,delivered,False,
n_0000068,u_01775,2025-10-27 13:00:00,programme_day,delivered,False,
n_0000069,u_01394,2026-01-06 16:00:00,programme_day,delivered,False,
n_0000070,u_01394,2026-01-15 11:00:00,inspire,delivered,True,2026-01-15 11:21:00
n_0000071,u_00939,2025-02-03 13:00:00,daily_reflection,delivered,False,
n_0000072,u_00939,2025-02-06 17:00:00,daily_reflection,delivered,False,
n_0000073,u_00568,2025-02-04 15:00:00,daily_reflection,delivered,True,2025-02-04 16:40:00
n_0000074,u_01834,2025-10-05 11:00:00,inspire,delivered,False,
n_0000075,u_01834,2025-10-17 15:00:00,daily_reflection,delivered,False,
n_0000076,u_01834,2025-10-19 10:00:00,programme_day,delivered,False,
n_0000077,u_02452,2025-08-03 11:00:00,programme_day,delivered,False,
n_0000078,u_02452,2025-08-07 17:00:00,inspire,delivered,False,
n_0000079,u_02452,2025-08-06 10:00:00,daily_reflection,delivered,False,
n_0000080,u_01726,2025-03-29 08:00:00,daily_reflection,delivered,False,
n_0000081,u_01726,2025-03-24 14:00:00,inspire,delivered,False,
n_0000082,u_00945,2025-03-01 18:00:00,daily_reflection,delivered,False,
n_0000083,u_00945,2025-03-02 15:00:00,daily_reflection,delivered,False,
n_0000084,u_00945,2025-03-08 20:00:00,inspire,delivered,False,
n_0000085,u_01452,2025-02-04 17:00:00,daily_reflection,delivered,True,2025-02-04 19:14:00
n_0000086,u_01452,2025-01-18 10:00:00,inspire,delivered,False,
n_0000087,u_01452,2025-01-25 12:00:00,daily_reflection,delivered,True,2025-01-25 12:49:00
n_0000088,u_01442,2025-04-13 11:00:00,inspire,delivered,False,
n_0000089,u_01442,2025-04-16 16:00:00,inspire,delivered,False,
n_0000090,u_00262,2025-12-23 14:00:00,daily_reflection,delivered,False,
n_0000091,u_00885,2025-11-08 13:00:00,programme_day,delivered,True,2025-11-08 13:50:00
n_0000092,u_00885,2025-11-30 20:00:00,programme_day,delivered,True,2025-11-30 20:01:00
n_0000093,u_02611,2025-09-09 08:00:00,inspire,delivered,False,
n_0000094,u_00679,2025-01-05 13:00:00,inspire,delivered,False,
n_0000095,u_00679,2025-01-27 14:00:00,inspire,delivered,True,2025-01-27 15:39:00
n_0000096,u_00679,2025-01-14 16:00:00,daily_reflection,delivered,True,2025-01-14 17:16:00
n_0000097,u_00702,2025-01-17 10:00:00,programme_day,delivered,False,
n_0000098,u_00702,2025-01-24 19:00:00,programme_day,delivered,False,
n_0000099,u_01248,2025-12-29 19:00:00,daily_reflection,delivered,False,
n_0000100,u_01248,2025-12-20 12:00:00,inspire,delivered,False,
n_0000101,u_01959,2025-02-05 17:00:00,inspire,delivered,False,
n_0000102,u_01262,2025-09-24 18:00:00,daily_reflection,delivered,False,
n_0000103,u_01262,2025-09-09 14:00:00,daily_reflection,delivered,False,
n_0000104,u_01262,2025-09-13 15:00:00,inspire,delivered,True,2025-09-13 17:09:00
n_0000105,u_02701,2025-08-03 12:00:00,daily_reflection,delivered,True,2025-08-03 13:58:00
n_0000106,u_02701,2025-07-23 17:00:00,daily_reflection,delivered,False,
n_0000107,u_01277,2025-12-31 16:00:00,daily_reflection,delivered,False,
n_0000108,u_01277,2026-01-01 20:00:00,daily_reflection,delivered,False,
n_0000109,u_02051,2025-07-09 15:00:00,daily_reflection,delivered,True,2025-07-09 17:34:00
n_0000110,u_02051,2025-06-13 10:00:00,inspire,delivered,True,2025-06-13 11:42:00
n_0000111,u_02051,2025-07-08 16:00:00,inspire,delivered,True,2025-07-08 17:45:00
n_0000112,u_00215,2025-05-16 11:00:00,daily_reflection,failed,False,
n_0000113,u_00215,2025-05-28 18:00:00,daily_reflection,delivered,False,
n_0000114,u_00215,2025-05-14 11:00:00,daily_reflection,delivered,False,
n_0000115,u_02110,2025-04-18 18:00:00,inspire,delivered,False,
n_0000116,u_00671,2025-07-24 18:00:00,daily_reflection,delivered,True,2025-07-24 18:34:00
n_0000117,u_02315,2025-09-25 18:00:00,inspire,delivered,True,2025-09-25 20:03:00
n_0000118,u_00260,2025-10-18 18:00:00,daily_reflection,delivered,False,
n_0000119,u_00260,2025-10-30 08:00:00,daily_reflection,delivered,False,
n_0000120,u_00260,2025-10-29 15:00:00,programme_day,delivered,False,
n_0000121,u_00722,2025-10-20 09:00:00,daily_reflection,delivered,True,2025-10-20 09:55:00
n_0000122,u_00722,2025-10-18 12:00:00,inspire,delivered,False,
n_0000123,u_00468,2025-11-29 14:00:00,inspire,delivered,False,
n_0000124,u_00468,2025-12-03 10:00:00,daily_reflection,delivered,False,
n_0000125,u_00330,2025-11-13 14:00:00,daily_reflection,delivered,False,
n_0000126,u_00330,2025-10-25 16:00:00,programme_day,delivered,False,
n_0000127,u_01518,2025-08-04 16:00:00,daily_reflection,delivered,False,
n_0000128,u_02235,2025-02-11 10:00:00,daily_reflection,delivered,True,2025-02-11 11:47:00
n_0000129,u_01151,2025-07-27 11:00:00,inspire,delivered,True,2025-07-27 12:51:00
n_0000130,u_01151,2025-08-21 14:00:00,inspire,delivered,False,
n_0000131,u_01151,2025-07-26 12:00:00,inspire,delivered,False,
n_0000132,u_02561,2026-01-08 20:00:00,inspire,delivered,False,
n_0000133,u_00047,2025-03-23 08:00:00,daily_reflection,failed,False,
n_0000134,u_00047,2025-03-28 09:00:00,inspire,delivered,False,
n_0000135,u_00047,2025-03-18 09:00:00,programme_day,delivered,False,
n_0000136,u_02076,2025-11-18 13:00:00,inspire,delivered,False,
n_0000137,u_01169,2025-02-16 10:00:00,programme_day,delivered,False,
n_0000138,u_01169,2025-01-28 15:00:00,programme_day,delivered,False,
n_0000139,u_01169,2025-02-05 14:00:00,inspire,delivered,False,
n_0000140,u_00498,2025-06-15 12:00:00,programme_day,delivered,False,
n_0000141,u_02198,2025-09-13 14:00:00,daily_reflection,delivered,False,
n_0000142,u_02425,2025-02-19 18:00:00,programme_day,delivered,False,
n_0000143,u_02425,2025-03-14 09:00:00,inspire,delivered,False,
n_0000144,u_02425,2025-02-26 18:00:00,inspire,delivered,False,
n_0000145,u_02981,2025-04-27 16:00:00,daily_reflection,failed,False,
n_0000146,u_02981,2025-05-06 18:00:00,programme_day,delivered,False,
n_0000147,u_02981,2025-05-02 17:00:00,programme_day,delivered,False,
n_0000148,u_00231,2025-12-14 10:00:00,programme_day,delivered,True,2025-12-14 10:53:00
n_0000149,u_00231,2025-12-28 12:00:00,inspire,delivered,False,
n_0000150,u_00520,2025-11-19 11:00:00,inspire,delivered,False,
n_0000151,u_00520,2025-11-27 19:00:00,programme_day,delivered,True,2025-11-27 19:31:00
n_0000152,u_02398,2025-08-14 08:00:00,daily_reflection,delivered,False,
n_0000153,u_02398,2025-09-02 10:00:00,programme_day,delivered,False,
n_0000154,u_02682,2025-04-25 09:00:00,daily_reflection,delivered,True,2025-04-25 09:48:00
n_0000155,u_02682,2025-05-03 16:00:00,daily_reflection,delivered,True,2025-05-03 17:54:00
n_0000156,u_02682,2025-05-01 17:00:00,daily_reflection,delivered,False,
n_0000157,u_00459,2025-07-21 18:00:00,programme_day,delivered,False,
n_0000158,u_00459,2025-07-26 11:00:00,inspire,delivered,False,
n_0000159,u_01519,2025-08-03 09:00:00,daily_reflection,delivered,True,2025-08-03 09:17:00
n_0000160,u_02900,2026-01-10 11:00:00,daily_reflection,delivered,True,2026-01-10 13:54:00
n_0000161,u_01843,2025-07-31 17:00:00,daily_reflection,delivered,False,
n_0000162,u_01843,2025-08-11 16:00:00,inspire,delivered,False,
n_0000163,u_02208,2025-05-30 19:00:00,programme_day,delivered,False,
n_0000164,u_01045,2026-01-17 14:00:00,programme_day,delivered,False,
n_0000165,u_01045,2026-01-09 09:00:00,daily_reflection,delivered,False,
n_0000166,u_01045,2026-01-12 20:00:00,inspire,delivered,False,
n_0000167,u_01611,2025-09-21 12:00:00,daily_reflection,delivered,False,
n_0000168,u_01962,2025-08-22 08:00:00,inspire,delivered,True,2025-08-22 08:34:00
n_0000169,u_01962,2025-09-17 19:00:00,daily_reflection,delivered,False,
n_0000170,u_02905,2025-08-05 16:00:00,inspire,delivered,False,
n_0000171,u_02905,2025-08-04 14:00:00,inspire,delivered,True,2025-08-04 14:44:00
n_0000172,u_02648,2025-11-02 08:00:00,inspire,delivered,True,2025-11-02 09:45:00
n_0000173,u_00862,2025-06-25 08:00:00,daily_reflection,delivered,False,
n_0000174,u_00862,2025-07-10 09:00:00,programme_day,delivered,True,2025-07-10 09:16:00
n_0000175,u_00862,2025-07-17 18:00:00,inspire,delivered,False,
n_0000176,u_00174,2025-05-28 12:00:00,inspire,delivered,False,
n_0000177,u_02945,2025-11-21 12:00:00,inspire,delivered,False,
n_0000178,u_02061,2026-01-09 10:00:00,daily_reflection,delivered,False,
n_0000179,u_02061,2026-01-27 08:00:00,daily_reflection,delivered,False,
n_0000180,u_02825,2025-08-31 17:00:00,inspire,delivered,False,
n_0000181,u_02825,2025-09-22 09:00:00,inspire,delivered,False,
n_0000182,u_02825,2025-08-24 17:00:00,daily_reflection,delivered,False,
n_0000183,u_02634,2025-07-12 14:00:00,programme_day,delivered,True,2025-07-12 14:43:00
n_0000184,u_02634,2025-07-08 18:00:00,daily_reflection,delivered,True,2025-07-08 20:04:00
n_0000185,u_01882,2025-08-14 14:00:00,daily_reflection,delivered,False,
n_0000186,u_02457,2025-06-27 08:00:00,programme_day,delivered,False,
n_0000187,u_02457,2025-06-26 13:00:00,programme_day,delivered,True,2025-06-26 14:16:00
n_0000188,u_02499,2025-05-31 19:00:00,programme_day,delivered,False,
n_0000189,u_02499,2025-06-04 12:00:00,programme_day,delivered,False,
n_0000190,u_01681,2025-03-18 15:00:00,daily_reflection,delivered,False,
n_0000191,u_01681,2025-03-28 11:00:00,daily_reflection,delivered,False,
n_0000192,u_00016,2025-03-16 18:00:00,daily_reflection,delivered,False,
n_0000193,u_01710,2025-06-07 10:00:00,daily_reflection,delivered,True,2025-06-07 10:35:00
n_0000194,u_01710,2025-06-05 10:00:00,programme_day,delivered,False,
n_0000195,u_01710,2025-05-27 10:00:00,inspire,delivered,False,
n_0000196,u_00074,2025-11-16 14:00:00,inspire,delivered,False,
n_0000197,u_00074,2025-10-27 15:00:00,programme_day,delivered,False,
n_0000198,u_01672,2025-12-02 08:00:00,daily_reflection,delivered,False,
n_0000199,u_02173,2025-12-07 11:00:00,inspire,delivered,True,2025-12-07 13:12:00
n_0000200,u_01594,2025-02-09 16:00:00,inspire,delivered,True,2025-02-09 18:16:00
n_0000201,u_01594,2025-02-19 16:00:00,programme_day,delivered,True,2025-02-19 17:01:00
n_0000202,u_01594,2025-02-26 11:00:00,inspire,delivered,False,
n_0000203,u_02980,2025-07-21 11:00:00,daily_reflection,delivered,False,
n_0000204,u_02996,2025-06-30 15:00:00,daily_reflection,delivered,False,
n_0000205,u_00924,2025-04-18 20:00:00,daily_reflection,delivered,False,
n_0000206,u_00924,2025-05-15 10:00:00,programme_day,delivered,False,
n_0000207,u_02567,2025-04-26 19:00:00,inspire,delivered,False,
n_0000208,u_02567,2025-04-25 17:00:00,daily_reflection,delivered,False,
n_0000209,u_02567,2025-04-10 09:00:00,daily_reflection,delivered,False,
n_0000210,u_00868,2025-04-08 09:00:00,inspire,delivered,False,
n_0000211,u_02536,2026-01-17 18:00:00,daily_reflection,delivered,False,
n_0000212,u_02240,2025-09-09 17:00:00,inspire,delivered,False,
n_0000213,u_02396,2025-02-24 11:00:00,daily_reflection,delivered,False,
n_0000214,u_02396,2025-02-20 11:00:00,daily_reflection,delivered,False,
n_0000215,u_00485,2025-02-12 08:00:00,daily_reflection,delivered,False,
n_0000216,u_02487,2025-05-13 12:00:00,daily_reflection,delivered,False,
n_0000217,u_01185,2025-02-15 19:00:00,inspire,delivered,False,
n_0000218,u_01185,2025-02-16 09:00:00,daily_reflection,delivered,True,2025-02-16 09:29:00
n_0000219,u_01185,2025-02-07 16:00:00,inspire,delivered,False,
n_0000220,u_01380,2025-04-04 09:00:00,programme_day,delivered,True,2025-04-04 09:17:00
n_0000221,u_00516,2025-10-02 14:00:00,inspire,delivered,False,
n_0000222,u_00516,2025-09-28 11:00:00,inspire,delivered,False,
n_0000223,u_00516,2025-10-11 19:00:00,programme_day,delivered,False,
n_0000224,u_00755,2025-07-16 16:00:00,programme_day,delivered,False,
n_0000225,u_01511,2025-12-26 15:00:00,daily_reflection,delivered,False,
n_0000226,u_01511,2026-01-14 13:00:00,inspire,delivered,False,
n_0000227,u_00637,2025-08-23 18:00:00,daily_reflection,delivered,False,
n_0000228,u_00741,2025-10-07 16:00:00,daily_reflection,delivered,False,
n_0000229,u_00741,2025-10-23 20:00:00,programme_day,delivered,False,
n_0000230,u_00741,2025-10-03 09:00:00,inspire,delivered,False,
n_0000231,u_00214,2026-01-01 14:00:00,daily_reflection,delivered,False,
n_0000232,u_01486,2025-12-17 17:00:00,inspire,delivered,True,2025-12-17 19:44:00
n_0000233,u_01486,2026-01-03 13:00:00,programme_day,delivered,False,
n_0000234,u_01486,2025-12-31 08:00:00,daily_reflection,delivered,True,2025-12-31 10:01:00
n_0000235,u_00641,2025-01-30 11:00:00,daily_reflection,delivered,False,
n_0000236,u_00641,2025-02-03 20:00:00,daily_reflection,delivered,False,
n_0000237,u_00641,2025-02-19 18:00:00,inspire,delivered,False,
n_0000238,u_01290,2025-10-02 15:00:00,inspire,delivered,False,
n_0000239,u_01290,2025-10-09 19:00:00,inspire,delivered,False,
n_0000240,u_01290,2025-10-16 14:00:00,programme_day,delivered,True,2025-10-16 14:16:00
n_0000241,u_01129,2025-01-19 11:00:00,daily_reflection,delivered,False,
n_0000242,u_01129,2025-02-12 15:00:00,programme_day,delivered,False,
n_0000243,u_01552,2025-08-23 18:00:00,programme_day,delivered,False,
n_0000244,u_01552,2025-08-06 20:00:00,programme_day,delivered,True,2025-08-06 20:49:00
n_0000245,u_01552,2025-08-15 08:00:00,programme_day,delivered,True,2025-08-15 10:45:00
n_0000246,u_01005,2025-06-01 19:00:00,daily_reflection,delivered,False,
n_0000247,u_01005,2025-05-14 13:00:00,daily_reflection,delivered,True,2025-05-14 14:36:00
n_0000248,u_02652,2026-01-10 15:00:00,daily_reflection,delivered,True,2026-01-10 17:18:00
n_0000249,u_02652,2026-01-03 17:00:00,programme_day,delivered,False,
n_0000250,u_01585,2025-11-20 10:00:00,daily_reflection,delivered,False,
n_0000251,u_01281,2025-09-30 17:00:00,programme_day,delivered,False,
n_0000252,u_01281,2025-09-21 18:00:00,inspire,delivered,True,2025-09-21 18:48:00
n_0000253,u_02159,2025-12-26 13:00:00,daily_reflection,delivered,False,
n_0000254,u_01419,2025-06-08 20:00:00,programme_day,delivered,True,2025-06-08 22:48:00
n_0000255,u_01419,2025-05-30 19:00:00,inspire,delivered,True,2025-05-30 19:43:00
n_0000256,u_00578,2025-08-26 19:00:00,inspire,delivered,False,
n_0000257,u_00578,2025-08-11 15:00:00,programme_day,delivered,False,
n_0000258,u_02607,2025-08-03 16:00:00,daily_reflection,delivered,False,
n_0000259,u_02607,2025-07-08 08:00:00,inspire,delivered,False,
n_0000260,u_02607,2025-08-02 17:00:00,programme_day,delivered,True,2025-08-02 18:38:00
n_0000261,u_00019,2025-05-31 09:00:00,programme_day,delivered,False,
n_0000262,u_00019,2025-05-18 16:00:00,programme_day,delivered,True,2025-05-18 18:50:00
n_0000263,u_00019,2025-05-30 15:00:00,inspire,delivered,False,
n_0000264,u_02835,2025-01-27 12:00:00,daily_reflection,delivered,True,2025-01-27 13:34:00
n_0000265,u_01231,2025-10-07 13:00:00,inspire,delivered,False,
n_0000266,u_00071,2025-10-18 20:00:00,daily_reflection,delivered,True,2025-10-18 22:31:00
n_0000267,u_00071,2025-10-15 14:00:00,daily_reflection,delivered,True,2025-10-15 14:46:00
n_0000268,u_02333,2025-10-07 11:00:00,daily_reflection,delivered,True,2025-10-07 11:10:00
n_0000269,u_00453,2025-08-31 11:00:00,inspire,delivered,False,
n_0000270,u_00453,2025-09-04 13:00:00,programme_day,delivered,True,2025-09-04 13:06:00
n_0000271,u_00453,2025-09-19 10:00:00,inspire,delivered,False,
n_0000272,u_02339,2025-02-21 13:00:00,inspire,delivered,True,2025-02-21 14:44:00
n_0000273,u_02339,2025-02-26 18:00:00,programme_day,delivered,False,
n_0000274,u_02339,2025-03-01 17:00:00,daily_reflection,delivered,False,
n_0000275,u_01114,2025-10-06 09:00:00,programme_day,delivered,False,
n_0000276,u_00229,2025-09-08 09:00:00,daily_reflection,delivered,False,
n_0000277,u_01365,2025-06-14 12:00:00,inspire,delivered,False,
n_0000278,u_01245,2025-01-24 13:00:00,daily_reflection,delivered,False,
n_0000279,u_00676,2025-12-11 09:00:00,daily_reflection,delivered,False,
n_0000280,u_00676,2025-11-28 13:00:00,programme_day,delivered,False,
n_0000281,u_00676,2025-11-27 19:00:00,daily_reflection,delivered,True,2025-11-27 21:56:00
n_0000282,u_02756,2026-01-02 10:00:00,inspire,delivered,False,
n_0000283,u_02756,2026-01-11 14:00:00,inspire,delivered,False,
n_0000284,u_01913,2025-07-02 19:00:00,inspire,delivered,False,
n_0000285,u_00698,2025-05-23 11:00:00,inspire,delivered,False,
n_0000286,u_02890,2025-12-17 09:00:00,daily_reflection,delivered,True,2025-12-17 11:53:00
n_0000287,u_02873,2025-12-14 14:00:00,inspire,delivered,False,
n_0000288,u_02873,2025-12-09 13:00:00,daily_reflection,delivered,False,
n_0000289,u_02806,2025-12-16 11:00:00,daily_reflection,delivered,True,2025-12-16 12:13:00
n_0000290,u_02806,2025-12-17 16:00:00,inspire,delivered,True,2025-12-17 18:53:00
n_0000291,u_02806,2025-12-08 12:00:00,daily_reflection,delivered,False,
n_0000292,u_02424,2025-02-23 17:00:00,inspire,delivered,True,2025-02-23 18:09:00
n_0000293,u_02424,2025-03-15 08:00:00,inspire,delivered,False,
n_0000294,u_02580,2025-08-19 09:00:00,inspire,delivered,True,2025-08-19 11:49:00
n_0000295,u_02580,2025-09-15 17:00:00,daily_reflection,delivered,True,2025-09-15 17:45:00
n_0000296,u_01416,2025-08-24 08:00:00,inspire,delivered,False,
n_0000297,u_01416,2025-09-09 12:00:00,daily_reflection,delivered,True,2025-09-09 13:03:00
n_0000298,u_01416,2025-08-27 16:00:00,inspire,delivered,False,
n_0000299,u_01133,2025-03-01 14:00:00,daily_reflection,delivered,True,2025-03-01 16:28:00
n_0000300,u_02694,2025-02-13 14:00:00,programme_day,delivered,False,
n_0000301,u_02694,2025-01-27 13:00:00,daily_reflection,delivered,False,
n_0000302,u_02853,2025-10-06 11:00:00,inspire,delivered,False,
n_0000303,u_00884,2025-12-21 13:00:00,inspire,delivered,False,
n_0000304,u_00066,2025-09-14 16:00:00,daily_reflection,delivered,False,
n_0000305,u_00066,2025-09-06 14:00:00,inspire,delivered,False,
n_0000306,u_00066,2025-09-21 17:00:00,programme_day,delivered,False,
n_0000307,u_01551,2025-07-10 10:00:00,daily_reflection,delivered,True,2025-07-10 10:49:00
n_0000308,u_00196,2025-08-07 10:00:00,daily_reflection,delivered,False,
n_0000309,u_00196,2025-08-04 08:00:00,inspire,delivered,True,2025-08-04 08:51:00
n_0000310,u_00196,2025-08-16 11:00:00,daily_reflection,delivered,True,2025-08-16 11:29:00
n_0000311,u_00766,2025-06-15 11:00:00,programme_day,delivered,False,
n_0000312,u_00766,2025-06-14 20:00:00,daily_reflection,delivered,False,
n_0000313,u_01521,2025-03-02 09:00:00,daily_reflection,delivered,False,
n_0000314,u_01521,2025-03-04 15:00:00,daily_reflection,failed,False,
n_0000315,u_01521,2025-02-27 17:00:00,daily_reflection,delivered,False,
n_0000316,u_00318,2025-09-25 09:00:00,inspire,delivered,False,
n_0000317,u_00318,2025-10-02 09:00:00,daily_reflection,delivered,False,
n_0000318,u_00060,2025-07-05 13:00:00,inspire,delivered,False,
n_0000319,u_00480,2025-09-30 12:00:00,inspire,delivered,False,
n_0000320,u_00480,2025-09-26 10:00:00,daily_reflection,delivered,False,
n_0000321,u_01690,2025-07-14 20:00:00,programme_day,delivered,True,2025-07-14 21:31:00
n_0000322,u_01690,2025-07-02 09:00:00,inspire,delivered,False,
n_0000323,u_01690,2025-07-25 20:00:00,inspire,delivered,False,
n_0000324,u_02132,2025-05-05 17:00:00,inspire,delivered,True,2025-05-05 19:12:00
n_0000325,u_02132,2025-05-01 14:00:00,inspire,delivered,False,
n_0000326,u_02599,2025-08-10 11:00:00,daily_reflection,delivered,False,
n_0000327,u_00733,2025-07-26 16:00:00,daily_reflection,delivered,False,
n_0000328,u_00886,2025-08-08 12:00:00,programme_day,delivered,False,
n_0000329,u_00886,2025-07-16 10:00:00,daily_reflection,delivered,False,
n_0000330,u_02992,2025-09-21 12:00:00,inspire,delivered,False,
n_0000331,u_01463,2025-08-22 16:00:00,programme_day,delivered,True,2025-08-22 17:29:00
n_0000332,u_01463,2025-08-01 09:00:00,daily_reflection,delivered,False,
n_0000333,u_00689,2025-03-21 08:00:00,inspire,delivered,False,
n_0000334,u_00689,2025-04-12 10:00:00,inspire,delivered,False,
n_0000335,u_01893,2025-05-06 14:00:00,daily_reflection,delivered,False,
n_0000336,u_01893,2025-05-06 14:00:00,programme_day,delivered,True,2025-05-06 16:34:00
n_0000337,u_01453,2025-05-30 09:00:00,programme_day,delivered,False,
n_0000338,u_01453,2025-05-05 16:00:00,inspire,delivered,True,2025-05-05 18:40:00
n_0000339,u_02103,2025-09-03 19:00:00,daily_reflection,delivered,False,
n_0000340,u_02103,2025-09-21 10:00:00,daily_reflection,delivered,True,2025-09-21 12:15:00
n_0000341,u_02103,2025-09-16 10:00:00,daily_reflection,delivered,False,
n_0000342,u_00004,2026-01-02 11:00:00,inspire,delivered,True,2026-01-02 13:18:00
n_0000343,u_00860,2025-12-28 08:00:00,daily_reflection,delivered,True,2025-12-28 08:24:00
n_0000344,u_00524,2025-10-08 17:00:00,daily_reflection,delivered,False,
n_0000345,u_00993,2025-06-09 20:00:00,daily_reflection,delivered,True,2025-06-09 21:03:00
n_0000346,u_01793,2025-05-09 09:00:00,programme_day,delivered,False,
n_0000347,u_00588,2025-10-23 09:00:00,daily_reflection,delivered,False,
n_0000348,u_00588,2025-10-28 08:00:00,inspire,delivered,False,
n_0000349,u_01565,2025-04-26 09:00:00,daily_reflection,delivered,False,
n_0000350,u_01565,2025-04-23 09:00:00,programme_day,delivered,False,
n_0000351,u_01565,2025-04-03 17:00:00,programme_day,delivered,False,
n_0000352,u_00889,2025-04-17 10:00:00,inspire,delivered,False,
n_0000353,u_00889,2025-04-08 09:00:00,daily_reflection,delivered,True,2025-04-08 10:57:00
