user_id,signup_date,cohort_month,platform,country,cohort,onboarding_version,onboarding_path,knows_mbti,mbti,faith_level,social_energy,extrovert_score,religiosity_score,onboarding_completed,activated
u_00074,2025-10-23,2025-10,ios,CA,control,baseline,mandatory_test,False,,deep_seeker,ambivert,77.3,85.7,True,True
u_00075,2025-01-25,2025-01,ios,US,control,baseline,mandatory_test,True,ISTJ,cultural,introvert,52.7,65.8,True,False
u_00076,2025-12-25,2025-12,ios,ID,variant,lower_friction,test_or_skip,False,,practicing,extrovert,58.7,16.7,False,False
u_00077,2025-02-15,2025-02,ios,ID,control,baseline,mandatory_test,False,,practicing,extrovert,58.9,100.0,False,True
u_00078,2025-09-25,2025-09,ios,ID,control,baseline,mandatory_test,False,,practicing,extrovert,54.6,52.8,True,False
u_00079,2025-07-05,2025-07,ios,CA,control,baseline,mandatory_test,False,,practicing,deep_extrovert,34.9,45.9,False,False
u_00080,2025-08-17,2025-08,android,SG,variant,lower_friction,self_select,True,ESTP,practicing,extrovert,38.8,45.0,True,False
u_00081,2025-08-11,2025-08,android,US,variant,lower_friction,self_select,True,ISTP,practicing,extrovert,9.2,37.6,True,False
u_00082,2025-01-10,2025-01,ios,AE,variant,lower_friction,self_select,True,INTP,devoted,ambivert,41.9,28.2,True,True
u_00083,2025-09-02,2025-09,android,CA,variant,lower_friction,self_select,True,ESTJ,practicing,extrovert,32.4,59.7,True,True
u_00084,2025-04-06,2025-04,ios,US,control,baseline,mandatory_test,True,INTJ,devoted,deep_introvert,57.4,78.9,True,True
u_00085,2025-03-30,2025-03,android,AE,control,baseline,mandatory_test,False,,practicing,introvert,78.1,83.1,False,False
u_00086,2025-04-22,2025-04,ios,MY,variant,lower_friction,test_or_skip,False,,spiritual,deep_introvert,76.7,48.5,True,False
u_00087,2025-04-20,2025-04,android,ID,control,baseline,mandatory_test,False,,practicing,ambivert,61.9,76.3,False,False
u_00088,2025-12-01,2025-12,ios,US,control,baseline,mandatory_test,False,,devoted,introvert,40.4,56.8,False,False
u_00089,2025-08-13,2025-08,web,MY,variant,lower_friction,test_or_skip,False,,devoted,introvert,30.8,36.3,True,True
u_00090,2025-03-28,2025-03,ios,ID,control,baseline,mandatory_test,True,ENFP,spiritual,introvert,49.0,68.9,False,False
u_00091,2025-09-05,2025-09,ios,MY,control,baseline,mandatory_test,False,,spiritual,ambivert,29.6,49.6,False,False
u_00092,2025-08-22,2025-08,ios,UK,variant,lower_friction,test_or_skip,False,,devoted,extrovert,61.1,74.2,True,False
u_00093,2025-12-04,2025-12,ios,ID,variant,lower_friction,test_or_skip,False,,practicing,deep_extrovert,72.7,48.1,True,False
u_00094,2025-10-01,2025-10,android,AU,variant,lower_friction,self_select,True,ISFJ,practicing,deep_extrovert,39.5,60.8,True,False
u_00095,2025-04-04,2025-04,android,AE,variant,lower_friction,self_select,True,ESFP,devoted,extrovert,46.8,1.3,True,True
u_00096,2025-01-17,2025-01,ios,MY,variant,lower_friction,self_select,True,ENFJ,practicing,extrovert,59.2,53.3,True,True
u_00097,2025-12-16,2025-12,ios,AE,control,baseline,mandatory_test,False,,cultural,ambivert,49.9,22.6,False,False
u_00098,2025-09-05,2025-09,web,AE,control,baseline,mandatory_test,False,,practicing,introvert,21.9,28.2,True,True
u_00099,2025-03-29,2025-03,ios,SG,control,baseline,mandatory_test,False,,cultural,introvert,58.7,58.7,False,False
u_00100,2025-05-30,2025-05,android,ID,control,baseline,mandatory_test,False,,devoted,ambivert,64.3,42.9,False,False
u_00101,2025-02-17,2025-02,android,UK,variant,lower_friction,test_or_skip,False,,cultural,ambivert,66.9,99.8,True,False
u_00102,2025-05-21,2025-05,ios,MY,control,baseline,mandatory_test,False,,practicing,ambivert,3.6,49.2,True,True
u_00103,2025-12-23,2025-12,android,UK,control,baseline,mandatory_test,True,ENTJ,practicing,extrovert,19.8,84.0,True,True
u_00104,2025-04-19,2025-04,ios,MY,control,baseline,mandatory_test,True,ENFJ,devoted,ambivert,96.2,70.0,True,True
u_00105,2025-07-21,2025-07,android,MY,variant,lower_friction,test_or_skip,False,,spiritual,extrovert,46.8,21.0,True,False
u_00106,2025-07-27,2025-07,web,AE,variant,lower_friction,test_or_skip,False,,deep_seeker,extrovert,43.6,54.9,False,False
u_00107,2025-09-27,2025-09,ios,AU,control,baseline,mandatory_test,True,ESTP,practicing,extrovert,31.6,52.9,True,False
u_00108,2025-01-24,2025-01,ios,UK,variant,lower_friction,self_select,True,ISFP,practicing,extrovert,63.5,95.7,True,False
u_00109,2025-04-04,2025-04,android,AE,variant,lower_friction,self_select,True,INTJ,devoted,ambivert,31.3,66.9,False,False
u_00110,2025-09-20,2025-09,ios,AE,variant,lower_friction,test_or_skip,False,,practicing,introvert,71.1,64.3,True,True
u_00111,2025-10-23,2025-10,android,ID,variant,lower_friction,self_select,True,INFJ,practicing,extrovert,38.1,42.4,True,True
u_00112,2025-10-19,2025-10,android,CA,control,baseline,mandatory_test,False,,practicing,deep_introvert,69.3,50.2,False,False
u_00113,2025-01-31,2025-01,android,AE,variant,lower_friction,test_or_skip,False,,practicing,extrovert,54.1,58.8,True,False
u_00114,2025-07-26,2025-07,ios,ID,variant,lower_friction,test_or_skip,False,,devoted,deep_introvert,58.3,71.2,True,False
u_00115,2025-03-31,2025-03,android,MY,control,baseline,mandatory_test,False,,deep_seeker,ambivert,52.8,73.3,True,False
u_00116,2025-09-10,2025-09,ios,US,variant,lower_friction,self_select,True,ISTP,practicing,extrovert,67.5,64.3,True,False
u_00117,2025-11-23,2025-11,ios,AE,control,baseline,mandatory_test,True,ISTJ,spiritual,ambivert,42.9,69.2,False,False
u_00118,2025-07-30,2025-07,android,SG,variant,lower_friction,test_or_skip,False,,cultural,introvert,68.0,53.2,False,False
u_00119,2025-06-14,2025-06,ios,ID,control,baseline,mandatory_test,False,,deep_seeker,ambivert,62.5,59.8,False,False
u_00120,2025-08-06,2025-08,android,US,control,baseline,mandatory_test,False,,practicing,introvert,86.0,72.8,False,False
u_00121,2025-10-18,2025-10,web,UK,control,baseline,mandatory_test,True,ESTP,deep_seeker,extrovert,40.1,55.7,False,False
u_00122,2025-11-14,2025-11,ios,MY,control,baseline,mandatory_test,True,INTP,cultural,extrovert,63.8,70.4,True,False
u_00123,2025-02-22,2025-02,android,ID,variant,lower_friction,test_or_skip,False,,practicing,introvert,53.4,48.3,True,True
u_00124,2025-04-09,2025-04,ios,MY,control,baseline,mandatory_test,False,,devoted,introvert,29.2,58.4,False,False
u_00125,2025-04-07,2025-04,ios,US,control,baseline,mandatory_test,True,ISTP,practicing,introvert,38.8,69.2,True,True
u_00126,2025-09-30,2025-09,android,UK,control,baseline,mandatory_test,False,,devoted,deep_introvert,54.7,69.3,True,False
u_00127,2025-02-03,2025-02,ios,MY,variant,lower_friction,self_select,True,ENTP,practicing,ambivert,50.7,48.5,False,False
u_00128,2025-10-04,2025-10,android,AE,variant,lower_friction,test_or_skip,False,,devoted,ambivert,39.9,47.6,True,False
u_00129,2025-08-29,2025-08,android,UK,variant,lower_friction,self_select,True,ISFJ,practicing,ambivert,32.0,69.0,False,False
u_00130,2025-03-08,2025-03,ios,US,variant,lower_friction,test_or_skip,False,,practicing,extrovert,42.0,38.0,True,True
u_00131,2025-06-02,2025-06,ios,CA,variant,lower_friction,self_select,True,ESTJ,spiritual,deep_extrovert,38.5,67.7,True,True
u_00132,2025-10-03,2025-10,android,MY,control,baseline,mandatory_test,True,ESFP,spiritual,extrovert,56.8,58.4,False,False
u_00133,2025-03-20,2025-03,android,ID,variant,lower_friction,test_or_skip,False,,practicing,introvert,51.6,93.2,True,True
u_00134,2025-12-14,2025-12,ios,UK,control,baseline,mandatory_test,True,ENFP,deep_seeker,extrovert,80.5,43.1,True,True
u_00135,2025-06-08,2025-06,android,CA,variant,lower_friction,test_or_skip,False,,practicing,ambivert,56.6,61.9,True,True
u_00136,2025-04-04,2025-04,android,CA,variant,lower_friction,test_or_skip,False,,practicing,ambivert,70.2,78.9,True,True
u_00137,2025-03-18,2025-03,ios,US,control,baseline,mandatory_test,False,,spiritual,deep_introvert,47.0,100.0,False,False
u_00138,2025-02-25,2025-02,android,ID,control,baseline,mandatory_test,True,ENTP,spiritual,deep_extrovert,38.7,67.6,True,True
u_00139,2025-01-01,2025-01,ios,SG,control,baseline,mandatory_test,True,ISFJ,practicing,ambivert,55.7,35.4,True,True
u_00140,2025-08-07,2025-08,ios,AU,control,baseline,mandatory_test,False,,spiritual,ambivert,55.5,71.7,True,True
u_00141,2025-05-04,2025-05,ios,US,variant,lower_friction,self_select,True,ENFP,practicing,introvert,88.8,30.5,False,False
u_00142,2025-11-03,2025-11,ios,UK,variant,lower_friction,self_select,True,ESFP,devoted,ambivert,68.3,85.2,True,False
u_00143,2025-08-29,2025-08,ios,CA,control,baseline,mandatory_test,False,,spiritual,deep_extrovert,71.3,72.3,True,True
u_00144,2025-05-02,2025-05,ios,MY,control,baseline,mandatory_test,True,ISTP,practicing,introvert,34.3,53.3,False,False
u_00145,2025-11-05,2025-11,ios,MY,variant,lower_friction,self_select,True,INTJ,cultural,deep_extrovert,36.7,58.1,True,True
u_00146,2025-05-07,2025-05,ios,ID,variant,lower_friction,self_select,True,ENTP,spiritual,introvert,50.6,39.7,False,False
u_00147,2025-12-12,2025-12,android,MY,variant,lower_friction,test_or_skip,False,,practicing,extrovert,60.4,64.3,False,False
u_00148,2025-04-06,2025-04,ios,UK,control,baseline,mandatory_test,False,,deep_seeker,extrovert,39.3,44.5,True,True
u_00149,2025-10-30,2025-10,ios,UK,variant,lower_friction,self_select,True,INFP,cultural,ambivert,56.1,57.7,False,False
u_00150,2025-09-26,2025-09,ios,ID,control,baseline,mandatory_test,False,,cultural,introvert,30.9,55.1,False,False
u_00151,2025-04-21,2025-04,android,UK,variant,lower_friction,test_or_skip,False,,spiritual,extrovert,50.6,41.7,True,False
u_00152,2025-08-29,2025-08,android,AE,variant,lower_friction,test_or_skip,False,,practicing,ambivert,73.1,63.4,True,False
u_00153,2025-12-24,2025-12,android,AE,control,baseline,mandatory_test,False,,practicing,ambivert,57.6,20.5,False,True
u_00154,2025-08-01,2025-08,android,ID,variant,lower_friction,self_select,True,ESTP,practicing,extrovert,24.3,44.5,True,True
u_00155,2025-05-18,2025-05,android,AE,control,baseline,mandatory_test,False,,devoted,ambivert,15.1,83.1,True,False
u_00156,2025-11-06,2025-11,android,ID,variant,lower_friction,test_or_skip,False,,practicing,ambivert,70.2,26.1,True,False
u_00157,2025-06-26,2025-06,ios,US,variant,lower_friction,self_select,True,ISFJ,spiritual,extrovert,61.8,95.8,False,False
u_00158,2025-06-17,2025-06,android,US,control,baseline,mandatory_test,False,,devoted,deep_extrovert,16.6,46.9,False,False
u_00159,2025-11-20,2025-11,android,US,control,baseline,mandatory_test,True,ESFJ,practicing,ambivert,53.5,60.0,False,False
u_00160,2025-06-22,2025-06,ios,AE,variant,lower_friction,test_or_skip,False,,devoted,deep_extrovert,18.8,67.5,True,True
u_00161,2025-02-21,2025-02,android,AU,control,baseline,mandatory_test,False,,cultural,deep_introvert,73.2,62.0,True,False
u_00162,2025-11-14,2025-11,ios,UK,control,baseline,mandatory_test,True,ISFJ,devoted,ambivert,17.7,67.6,True,False
u_00163,2025-07-31,2025-07,web,AU,variant,lower_friction,self_select,True,ISFJ,devoted,ambivert,58.6,80.7,True,True
u_00164,2025-12-25,2025-12,android,ID,variant,lower_friction,test_or_skip,False,,practicing,ambivert,11.0,73.5,True,False
u_00165,2025-05-01,2025-05,ios,US,control,baseline,mandatory_test,False,,spiritual,extrovert,42.2,46.1,True,True
u_00166,2025-09-19,2025-09,ios,AU,control,baseline,mandatory_test,False,,practicing,introvert,33.6,84.0,False,False
u_00167,2025-05-20,2025-05,android,ID,variant,lower_friction,self_select,True,ISFP,practicing,extrovert,63.2,25.5,True,True
u_00168,2025-01-05,2025-01,ios,CA,control,baseline,mandatory_test,True,ENTP,cultural,deep_introvert,42.9,45.1,False,False
u_00169,2025-04-08,2025-04,android,US,control,baseline,mandatory_test,False,,cultural,ambivert,74.3,26.0,True,True
u_00170,2025-12-15,2025-12,android,US,control,baseline,mandatory_test,False,,practicing,extrovert,47.3,59.8,True,True
u_00171,2025-09-11,2025-09,ios,UK,control,baseline,mandatory_test,False,,practicing,ambivert,30.3,53.4,True,True
u_00172,2025-07-20,2025-07,ios,MY,control,baseline,mandatory_test,False,,devoted,extrovert,36.0,42.0,False,False
u_00173,2025-07-10,2025-07,android,MY,control,baseline,mandatory_test,False,,devoted,introvert,50.4,95.5,False,False
u_00174,2025-05-25,2025-05,android,ID,control,baseline,mandatory_test,False,,spiritual,extrovert,43.2,53.0,True,False
u_00175,2025-05-30,2025-05,ios,US,control,baseline,mandatory_test,False,,deep_seeker,ambivert,84.5,34.0,False,False
u_00176,2025-06-26,2025-06,ios,CA,variant,lower_friction,test_or_skip,False,,devoted,extrovert,55.0,77.3,False,False
u_00177,2025-08-13,2025-08,ios,ID,variant,lower_friction,test_or_skip,False,,cultural,ambivert,21.5,26.6,False,False
u_00178,2025-02-26,2025-02,ios,US,variant,lower_friction,test_or_skip,False,,devoted,introvert,40.1,97.4,True,True
u_00179,2025-10-16,2025-10,ios,ID,variant,lower_friction,self_select,True,INFP,practicing,ambivert,48.5,54.6,True,True
u_00180,2025-04-20,2025-04,ios,US,control,baseline,mandatory_test,False,,practicing,introvert,48.6,61.0,True,True
u_00181,2025-04-12,2025-04,web,CA,control,baseline,mandatory_test,True,INFJ,practicing,ambivert,61.2,96.3,False,False
u_00182,2025-05-19,2025-05,ios,AE,control,baseline,mandatory_test,True,INFJ,devoted,ambivert,41.9,91.8,True,True
u_00183,2025-09-20,2025-09,android,AU,control,baseline,mandatory_test,True,ISTP,devoted,introvert,94.3,51.5,True,True
u_00184,2025-03-12,2025-03,ios,ID,control,baseline,mandatory_test,True,ENTJ,practicing,introvert,32.8,22.3,False,False
u_00185,2025-07-23,2025-07,android,ID,variant,lower_friction,self_select,True,INTP,spiritual,deep_extrovert,21.6,31.4,False,False
u_00186,2025-11-04,2025-11,ios,US,variant,lower_friction,test_or_skip,False,,practicing,extrovert,46.3,73.5,False,False
u_00187,2025-01-15,2025-01,android,UK,control,baseline,mandatory_test,False,,cultural,extrovert,65.7,34.2,True,False
u_00188,2025-05-31,2025-05,ios,ID,control,baseline,mandatory_test,True,ESFP,cultural,introvert,61.1,82.9,True,True
u_00189,2025-09-20,2025-09,ios,ID,variant,lower_friction,test_or_skip,False,,practicing,introvert,56.0,45.5,False,False
u_00190,2025-05-14,2025-05,android,US,variant,lower_friction,test_or_skip,False,,practicing,deep_introvert,39.1,98.8,False,True
u_00191,2025-01-21,2025-01,web,CA,variant,lower_friction,test_or_skip,False,,practicing,introvert,89.0,28.4,True,False
u_00192,2025-10-22,2025-10,ios,ID,control,baseline,mandatory_test,False,,practicing,extrovert,50.1,78.2,False,False
u_00193,2025-12-19,2025-12,android,MY,control,baseline,mandatory_test,False,,devoted,deep_extrovert,41.9,86.4,True,False
u_00194,2025-04-19,2025-04,web,CA,control,baseline,mandatory_test,True,INTP,practicing,introvert,20.1,83.4,True,False
u_00195,2025-02-09,2025-02,ios,AU,variant,lower_friction,self_select,True,ISTJ,practicing,deep_extrovert,23.0,70.1,True,True
u_00196,2025-07-21,2025-07,android,US,control,baseline,mandatory_test,False,,spiritual,introvert,29.3,62.9,True,True
u_00197,2025-05-22,2025-05,android,US,variant,lower_friction,self_select,True,INFP,practicing,deep_extrovert,29.9,43.4,True,False
u_00198,2025-08-13,2025-08,ios,CA,control,baseline,mandatory_test,False,,deep_seeker,deep_extrovert,53.4,92.3,True,False
u_00199,2025-09-18,2025-09,ios,AE,variant,lower_friction,self_select,True,ISFP,practicing,extrovert,68.5,54.6,False,False
u_00200,2025-03-11,2025-03,ios,UK,control,baseline,mandatory_test,True,ESFJ,practicing,introvert,85.9,46.5,True,True
u_00201,2025-09-05,2025-09,android,UK,control,baseline,mandatory_test,False,,practicing,ambivert,36.1,55.1,False,False
u_00202,2025-10-26,2025-10,android,AE,control,baseline,mandatory_test,True,ESTP,cultural,deep_introvert,35.7,62.2,True,False
u_00203,2025-04-12,2025-04,web,AE,variant,lower_friction,test_or_skip,False,,practicing,deep_introvert,40.8,65.5,False,False
u_00204,2025-07-13,2025-07,ios,SG,control,baseline,mandatory_test,False,,spiritual,extrovert,65.8,68.9,True,True
u_00205,2025-02-10,2025-02,ios,UK,control,baseline,mandatory_test,False,,deep_seeker,extrovert,41.4,43.4,True,True
u_00206,2025-10-29,2025-10,ios,UK,variant,lower_friction,self_select,True,ENTJ,practicing,deep_extrovert,75.1,48.3,True,False
u_00207,2025-03-27,2025-03,ios,US,control,baseline,mandatory_test,False,,cultural,ambivert,48.5,54.6,False,False
u_00208,2025-06-15,2025-06,ios,UK,control,baseline,mandatory_test,False,,spiritual,extrovert,60.3,55.4,False,False
u_00209,2025-12-14,2025-12,ios,MY,control,baseline,mandatory_test,False,,practicing,deep_introvert,54.6,58.1,True,True
u_00210,2025-04-30,2025-04,android,ID,control,baseline,mandatory_test,True,ESTJ,devoted,deep_introvert,53.8,17.0,True,True
u_00211,2025-04-26,2025-04,ios,MY,control,baseline,mandatory_test,True,ESTJ,devoted,ambivert,42.6,39.3,True,True
u_00212,2025-02-16,2025-02,ios,US,control,baseline,mandatory_test,False,,spiritual,extrovert,70.2,66.6,True,False
u_00213,2025-08-31,2025-08,android,CA,control,baseline,mandatory_test,False,,practicing,ambivert,69.7,39.8,True,True
u_00214,2025-12-11,2025-12,web,MY,variant,lower_friction,test_or_skip,False,,practicing,ambivert,40.3,62.4,True,False
u_00215,2025-05-07,2025-05,web,AE,variant,lower_friction,self_select,True,INFJ,practicing,extrovert,35.3,40.7,True,True
u_00216,2025-12-23,2025-12,ios,MY,variant,lower_friction,test_or_skip,False,,practicing,deep_introvert,22.5,82.4,True,True
u_00217,2025-05-19,2025-05,ios,AE,control,baseline,mandatory_test,False,,practicing,deep_introvert,44.7,3.5,False,False
u_00218,2025-09-12,2025-09,ios,UK,control,baseline,mandatory_test,False,,spiritual,deep_introvert,48.8,55.6,True,True
u_00219,2025-07-25,2025-07,ios,US,control,baseline,mandatory_test,False,,deep_seeker,introvert,44.9,48.8,False,False
u_00220,2025-11-26,2025-11,ios,CA,variant,lower_friction,self_select,True,ESFP,cultural,deep_extrovert,44.5,56.6,True,True
