experiment_id,user_id,variant,assigned_at
EXP_MBTI_ONBOARDING_001,u_00158,control,2025-06-17
EXP_MBTI_ONBOARDING_001,u_00159,control,2025-11-20
EXP_MBTI_ONBOARDING_001,u_00160,variant,2025-06-22
EXP_MBTI_ONBOARDING_001,u_00161,control,2025-02-21
EXP_MBTI_ONBOARDING_001,u_00162,control,2025-11-14
EXP_MBTI_ONBOARDING_001,u_00163,variant,2025-07-31
EXP_MBTI_ONBOARDING_001,u_00164,variant,2025-12-25
EXP_MBTI_ONBOARDING_001,u_00165,control,2025-05-01
EXP_MBTI_ONBOARDING_001,u_00166,control,2025-09-19
EXP_MBTI_ONBOARDING_001,u_00167,variant,2025-05-20
EXP_MBTI_ONBOARDING_001,u_00168,control,2025-01-05
EXP_MBTI_ONBOARDING_001,u_00169,control,2025-04-08
EXP_MBTI_ONBOARDING_001,u_00170,control,2025-12-15
EXP_MBTI_ONBOARDING_001,u_00171,control,2025-09-11
EXP_MBTI_ONBOARDING_001,u_00172,control,2025-07-20
EXP_MBTI_ONBOARDING_001,u_00173,control,2025-07-10
EXP_MBTI_ONBOARDING_001,u_00174,control,2025-05-25
EXP_MBTI_ONBOARDING_001,u_00175,control,2025-05-30
EXP_MBTI_ONBOARDING_001,u_00176,variant,2025-06-26
EXP_MBTI_ONBOARDING_001,u_00177,variant,2025-08-13
EXP_MBTI_ONBOARDING_001,u_00178,variant,2025-02-26
EXP_MBTI_ONBOARDING_001,u_00179,variant,2025-10-16
EXP_MBTI_ONBOARDING_001,u_00180,control,2025-04-20
EXP_MBTI_ONBOARDING_001,u_00181,control,2025-04-12
EXP_MBTI_ONBOARDING_001,u_00182,control,2025-05-19
EXP_MBTI_ONBOARDING_001,u_00183,control,2025-09-20
EXP_MBTI_ONBOARDING_001,u_00184,control,2025-03-12
EXP_MBTI_ONBOARDING_001,u_00185,variant,2025-07-23
EXP_MBTI_ONBOARDING_001,u_00186,variant,2025-11-04
EXP_MBTI_ONBOARDING_001,u_00187,control,2025-01-15
EXP_MBTI_ONBOARDING_001,u_00188,control,2025-05-31
EXP_MBTI_ONBOARDING_001,u_00189,variant,2025-09-20
EXP_MBTI_ONBOARDING_001,u_00190,variant,2025-05-14
EXP_MBTI_ONBOARDING_001,u_00191,variant,2025-01-21
EXP_MBTI_ONBOARDING_001,u_00192,control,2025-10-22
EXP_MBTI_ONBOARDING_001,u_00193,control,2025-12-19
EXP_MBTI_ONBOARDING_001,u_00194,control,2025-04-19
EXP_MBTI_ONBOARDING_001,u_00195,variant,2025-02-09
EXP_MBTI_ONBOARDING_001,u_00196,control,2025-07-21
EXP_MBTI_ONBOARDING_001,u_00197,variant,2025-05-22
EXP_MBTI_ONBOARDING_001,u_00198,control,2025-08-13
EXP_MBTI_ONBOARDING_001,u_00199,variant,2025-09-18
EXP_MBTI_ONBOARDING_001,u_00200,control,2025-03-11
EXP_MBTI_ONBOARDING_001,u_00201,control,2025-09-05
EXP_MBTI_ONBOARDING_001,u_00202,control,2025-10-26
EXP_MBTI_ONBOARDING_001,u_00203,variant,2025-04-12
EXP_MBTI_ONBOARDING_001,u_00204,control,2025-07-13
EXP_MBTI_ONBOARDING_001,u_00205,control,2025-02-10
EXP_MBTI_ONBOARDING_001,u_00206,variant,2025-10-29
EXP_MBTI_ONBOARDING_001,u_00207,control,2025-03-27
EXP_MBTI_ONBOARDING_001,u_00208,control,2025-06-15
EXP_MBTI_ONBOARDING_001,u_00209,control,2025-12-14
EXP_MBTI_ONBOARDING_001,u_00210,control,2025-04-30
EXP_MBTI_ONBOARDING_001,u_00211,control,2025-04-26
EXP_MBTI_ONBOARDING_001,u_00212,control,2025-02-16
EXP_MBTI_ONBOARDING_001,u_00213,control,2025-08-31
EXP_MBTI_ONBOARDING_001,u_00214,variant,2025-12-11
EXP_MBTI_ONBOARDING_001,u_00215,variant,2025-05-07
EXP_MBTI_ONBOARDING_001,u_00216,variant,2025-12-23
EXP_MBTI_ONBOARDING_001,u_00217,control,2025-05-19
EXP_MBTI_ONBOARDING_001,u_00218,control,2025-09-12
EXP_MBTI_ONBOARDING_001,u_00219,control,2025-07-25
EXP_MBTI_ONBOARDING_001,u_00220,variant,2025-11-26
EXP_MBTI_ONBOARDING_001,u_00221,variant,2025-07-10
EXP_MBTI_ONBOARDING_001,u_00222,control,2025-01-30
EXP_MBTI_ONBOARDING_001,u_00223,control,2025-07-03
EXP_MBTI_ONBOARDING_001,u_00224,control,2025-05-29
EXP_MBTI_ONBOARDING_001,u_00225,variant,2025-07-13
EXP_MBTI_ONBOARDING_001,u_00226,variant,2025-05-15
EXP_MBTI_ONBOARDING_001,u_00227,control,2025-09-03
EXP_MBTI_ONBOARDING_001,u_00228,variant,2025-07-17
EXP_MBTI_ONBOARDING_001,u_00229,variant,2025-09-06
EXP_MBTI_ONBOARDING_001,u_00230,variant,2025-01-18
EXP_MBTI_ONBOARDING_001,u_00231,variant,2025-12-10
EXP_MBTI_ONBOARDING_001,u_00232,variant,2025-01-01
EXP_MBTI_ONBOARDING_001,u_00233,variant,2025-06-16
EXP_MBTI_ONBOARDING_001,u_00234,control,2025-04-15
EXP_MBTI_ONBOARDING_001,u_00235,variant,2025-02-04
EXP_MBTI_ONBOARDING_001,u_00236,control,2025-01-13
EXP_MBTI_ONBOARDING_001,u_00237,control,2025-09-19
EXP_MBTI_ONBOARDING_001,u_00238,variant,2025-03-26
EXP_MBTI_ONBOARDING_001,u_00239,control,2025-05-29
EXP_MBTI_ONBOARDING_001,u_00240,control,2025-11-15
EXP_MBTI_ONBOARDING_001,u_00241,control,2025-07-05
EXP_MBTI_ONBOARDING_001,u_00242,variant,2025-08-15
EXP_MBTI_ONBOARDING_001,u_00243,control,2025-01-14
EXP_MBTI_ONBOARDING_001,u_00244,control,2025-05-15
EXP_MBTI_ONBOARDING_001,u_00245,control,2025-06-25
EXP_MBTI_ONBOARDING_001,u_00246,control,2025-06-01
EXP_MBTI_ONBOARDING_001,u_00247,variant,2025-01-06
EXP_MBTI_ONBOARDING_001,u_00248,control,2025-07-03
EXP_MBTI_ONBOARDING_001,u_00249,control,2025-09-01
EXP_MBTI_ONBOARDING_001,u_00250,control,2025-11-04
EXP_MBTI_ONBOARDING_001,u_00251,control,2025-12-02
EXP_MBTI_ONBOARDING_001,u_00252,control,2025-06-06
EXP_MBTI_ONBOARDING_001,u_00253,variant,2025-06-09
EXP_MBTI_ONBOARDING_001,u_00254,control,2025-11-30
EXP_MBTI_ONBOARDING_001,u_00255,variant,2025-05-13
EXP_MBTI_ONBOARDING_001,u_00256,control,2025-03-26
EXP_MBTI_ONBOARDING_001,u_00257,variant,2025-02-05
EXP_MBTI_ONBOARDING_001,u_00258,variant,2025-12-16
EXP_MBTI_ONBOARDING_001,u_00259,control,2025-06-11
EXP_MBTI_ONBOARDING_001,u_00260,control,2025-10-14
EXP_MBTI_ONBOARDING_001,u_00261,variant,2025-06-22
EXP_MBTI_ONBOARDING_001,u_00262,variant,2025-12-15
EXP_MBTI_ONBOARDING_001,u_00263,variant,2025-09-21
EXP_MBTI_ONBOARDING_001,u_00264,variant,2025-02-12
EXP_MBTI_ONBOARDING_001,u_00265,control,2025-01-18
EXP_MBTI_ONBOARDING_001,u_00266,variant,2025-11-06
EXP_MBTI_ONBOARDING_001,u_00267,control,2025-09-20
EXP_MBTI_ONBOARDING_001,u_00268,control,2025-03-23
EXP_MBTI_ONBOARDING_001,u_00269,control,2025-01-25
EXP_MBTI_ONBOARDING_001,u_00270,variant,2025-08-30
EXP_MBTI_ONBOARDING_001,u_00271,variant,2025-11-13
EXP_MBTI_ONBOARDING_001,u_00272,variant,2025-05-30
EXP_MBTI_ONBOARDING_001,u_00273,variant,2025-01-25
EXP_MBTI_ONBOARDING_001,u_00274,variant,2025-12-16
EXP_MBTI_ONBOARDING_001,u_00275,variant,2025-10-20
EXP_MBTI_ONBOARDING_001,u_00276,control,2025-05-25
EXP_MBTI_ONBOARDING_001,u_00277,control,2025-04-02
EXP_MBTI_ONBOARDING_001,u_00278,control,2025-09-02
EXP_MBTI_ONBOARDING_001,u_00279,control,2025-01-27
EXP_MBTI_ONBOARDING_001,u_00280,control,2025-10-13
EXP_MBTI_ONBOARDING_001,u_00281,variant,2025-01-13
EXP_MBTI_ONBOARDING_001,u_00282,control,2025-09-11
EXP_MBTI_ONBOARDING_001,u_00283,variant,2025-12-17
EXP_MBTI_ONBOARDING_001,u_00284,variant,2025-06-01
EXP_MBTI_ONBOARDING_001,u_00285,variant,2025-02-08
EXP_MBTI_ONBOARDING_001,u_00286,variant,2025-02-28
EXP_MBTI_ONBOARDING_001,u_00287,variant,2025-11-25
EXP_MBTI_ONBOARDING_001,u_00288,control,2025-02-10
EXP_MBTI_ONBOARDING_001,u_00289,variant,2025-07-23
EXP_MBTI_ONBOARDING_001,u_00290,control,2025-03-24
EXP_MBTI_ONBOARDING_001,u_00291,variant,2025-10-17
EXP_MBTI_ONBOARDING_001,u_00292,control,2025-08-26
EXP_MBTI_ONBOARDING_001,u_00293,variant,2025-08-02
EXP_MBTI_ONBOARDING_001,u_00294,control,2025-09-27
EXP_MBTI_ONBOARDING_001,u_00295,control,2025-02-26
EXP_MBTI_ONBOARDING_001,u_00296,control,2025-06-03
EXP_MBTI_ONBOARDING_001,u_00297,variant,2025-01-22
EXP_MBTI_ONBOARDING_001,u_00298,control,2025-06-27
EXP_MBTI_ONBOARDING_001,u_00299,variant,2025-10-23
EXP_MBTI_ONBOARDING_001,u_00300,variant,2025-05-12
EXP_MBTI_ONBOARDING_001,u_00301,control,2025-10-17
EXP_MBTI_ONBOARDING_001,u_00302,control,2025-01-10
EXP_MBTI_ONBOARDING_001,u_00303,control,2025-09-20
EXP_MBTI_ONBOARDING_001,u_00304,variant,2025-12-01
EXP_MBTI_ONBOARDING_001,u_00305,variant,2025-06-06
EXP_MBTI_ONBOARDING_001,u_00306,control,2025-07-07
EXP_MBTI_ONBOARDING_001,u_00307,variant,2025-06-03
EXP_MBTI_ONBOARDING_001,u_00308,variant,2025-03-13
EXP_MBTI_ONBOARDING_001,u_00309,variant,2025-12-07
EXP_MBTI_ONBOARDING_001,u_00310,control,2025-01-07
EXP_MBTI_ONBOARDING_001,u_00311,control,2025-10-18
EXP_MBTI_ONBOARDING_001,u_00312,variant,2025-09-11
EXP_MBTI_ONBOARDING_001,u_00313,control,2025-01-05
EXP_MBTI_ONBOARDING_001,u_00314,variant,2025-06-07
EXP_MBTI_ONBOARDING_001,u_00315,control,2025-10-16
EXP_MBTI_ONBOARDING_001,u_00316,control,2025-03-13
EXP_MBTI_ONBOARDING_001,u_00317,variant,2025-08-24
EXP_MBTI_ONBOARDING_001,u_00318,control,2025-09-10
EXP_MBTI_ONBOARDING_001,u_00319,variant,2025-11-02
EXP_MBTI_ONBOARDING_001,u_00320,variant,2025-07-23
EXP_MBTI_ONBOARDING_001,u_00321,control,2025-04-05
EXP_MBTI_ONBOARDING_001,u_00322,variant,2025-05-07
EXP_MBTI_ONBOARDING_001,u_00323,control,2025-07-10
EXP_MBTI_ONBOARDING_001,u_00324,control,2025-06-11
EXP_MBTI_ONBOARDING_001,u_00325,control,2025-06-26
EXP_MBTI_ONBOARDING_001,u_00326,control,2025-08-15
EXP_MBTI_ONBOARDING_001,u_00327,variant,2025-03-03
EXP_MBTI_ONBOARDING_001,u_00328,control,2025-09-28
EXP_MBTI_ONBOARDING_001,u_00329,variant,2025-04-18
EXP_MBTI_ONBOARDING_001,u_00330,variant,2025-10-18
EXP_MBTI_ONBOARDING_001,u_00331,control,2025-01-19
EXP_MBTI_ONBOARDING_001,u_00332,variant,2025-02-04
EXP_MBTI_ONBOARDING_001,u_00333,variant,2025-03-30
EXP_MBTI_ONBOARDING_001,u_00334,variant,2025-10-19
EXP_MBTI_ONBOARDING_001,u_00335,control,2025-05-08
EXP_MBTI_ONBOARDING_001,u_00336,variant,2025-05-10
EXP_MBTI_ONBOARDING_001,u_00337,control,2025-08-01
EXP_MBTI_ONBOARDING_001,u_00338,control,2025-08-25
EXP_MBTI_ONBOARDING_001,u_00339,control,2025-07-03
EXP_MBTI_ONBOARDING_001,u_00340,control,2025-09-05
EXP_MBTI_ONBOARDING_001,u_00341,variant,2025-09-29
EXP_MBTI_ONBOARDING_001,u_00342,control,2025-10-27
EXP_MBTI_ONBOARDING_001,u_00343,control,2025-01-20
EXP_MBTI_ONBOARDING_001,u_00344,variant,2025-02-06
EXP_MBTI_ONBOARDING_001,u_00345,control,2025-04-26
EXP_MBTI_ONBOARDING_001,u_00346,control,2025-08-09
EXP_MBTI_ONBOARDING_001,u_00347,variant,2025-04-15
EXP_MBTI_ONBOARDING_001,u_00348,variant,2025-07-07
EXP_MBTI_ONBOARDING_001,u_00349,control,2025-02-07
EXP_MBTI_ONBOARDING_001,u_00350,variant,2025-03-31
EXP_MBTI_ONBOARDING_001,u_00351,control,2025-04-02
EXP_MBTI_ONBOARDING_001,u_00352,control,2025-06-14
EXP_MBTI_ONBOARDING_001,u_00353,variant,2025-08-08
EXP_MBTI_ONBOARDING_001,u_00354,variant,2025-12-27
EXP_MBTI_ONBOARDING_001,u_00355,control,2025-01-09
EXP_MBTI_ONBOARDING_001,u_00356,control,2025-10-21
EXP_MBTI_ONBOARDING_001,u_00357,control,2025-09-22
EXP_MBTI_ONBOARDING_001,u_00358,control,2025-06-21
EXP_MBTI_ONBOARDING_001,u_00359,control,2025-01-27
EXP_MBTI_ONBOARDING_001,u_00360,control,2025-06-29
EXP_MBTI_ONBOARDING_001,u_00361,variant,2025-05-18
EXP_MBTI_ONBOARDING_001,u_00362,control,2025-12-23
EXP_MBTI_ONBOARDING_001,u_00363,variant,2025-01-04
EXP_MBTI_ONBOARDING_001,u_00364,variant,2025-01-23
EXP_MBTI_ONBOARDING_001,u_00365,control,2025-04-20
EXP_MBTI_ONBOARDING_001,u_00366,control,2025-04-01
EXP_MBTI_ONBOARDING_001,u_00367,control,2025-01-23
EXP_MBTI_ONBOARDING_001,u_00368,variant,2025-06-09
EXP_MBTI_ONBOARDING_001,u_00369,variant,2025-07-11
EXP_MBTI_ONBOARDING_001,u_00370,control,2025-08-13
EXP_MBTI_ONBOARDING_001,u_00371,variant,2025-08-07
EXP_MBTI_ONBOARDING_001,u_00372,control,2025-10-30
EXP_MBTI_ONBOARDING_001,u_00373,variant,2025-11-08
EXP_MBTI_ONBOARDING_001,u_00374,control,2025-05-26
EXP_MBTI_ONBOARDING_001,u_00375,control,2025-05-13
EXP_MBTI_ONBOARDING_001,u_00376,variant,2025-10-29
EXP_MBTI_ONBOARDING_001,u_00377,control,2025-11-28
EXP_MBTI_ONBOARDING_001,u_00378,variant,2025-08-16
EXP_MBTI_ONBOARDING_001,u_00379,variant,2025-12-20
EXP_MBTI_ONBOARDING_001,u_00380,control,2025-11-05
EXP_MBTI_ONBOARDING_001,u_00381,control,2025-08-21
EXP_MBTI_ONBOARDING_001,u_00382,control,2025-02-28
EXP_MBTI_ONBOARDING_001,u_00383,variant,2025-08-11
EXP_MBTI_ONBOARDING_001,u_00384,variant,2025-04-04
EXP_MBTI_ONBOARDING_001,u_00385,variant,2025-06-12
EXP_MBTI_ONBOARDING_001,u_00386,control,2025-04-07
EXP_MBTI_ONBOARDING_001,u_00387,variant,2025-10-15
EXP_MBTI_ONBOARDING_001,u_00388,variant,2025-07-25
EXP_MBTI_ONBOARDING_001,u_00389,control,2025-01-20
EXP_MBTI_ONBOARDING_001,u_00390,control,2025-01-14
EXP_MBTI_ONBOARDING_001,u_00391,variant,2025-05-17
EXP_MBTI_ONBOARDING_001,u_00392,variant,2025-11-21
EXP_MBTI_ONBOARDING_001,u_00393,control,2025-10-18
EXP_MBTI_ONBOARDING_001,u_00394,control,2025-05-16
EXP_MBTI_ONBOARDING_001,u_00395,control,2025-03-09
EXP_MBTI_ONBOARDING_001,u_00396,variant,2025-11-03
EXP_MBTI_ONBOARDING_001,u_00397,control,2025-11-02
EXP_MBTI_ONBOARDING_001,u_00398,control,2025-08-09
EXP_MBTI_ONBOARDING_001,u_00399,variant,2025-04-06
EXP_MBTI_ONBOARDING_001,u_00400,control,2025-07-28
EXP_MBTI_ONBOARDING_001,u_00401,variant,2025-05-03
EXP_MBTI_ONBOARDING_001,u_00402,variant,2025-05-06
EXP_MBTI_ONBOARDING_001,u_00403,control,2025-07-20
EXP_MBTI_ONBOARDING_001,u_00404,control,2025-05-10
EXP_MBTI_ONBOARDING_001,u_00405,control,2025-08-28
EXP_MBTI_ONBOARDING_001,u_00406,variant,2025-11-12
EXP_MBTI_ONBOARDING_001,u_00407,variant,2025-06-21
EXP_MBTI_ONBOARDING_001,u_00408,variant,2025-10-21
EXP_MBTI_ONBOARDING_001,u_00409,variant,2025-10-06
EXP_MBTI_ONBOARDING_001,u_00410,variant,2025-08-17
EXP_MBTI_ONBOARDING_001,u_00411,variant,2025-04-21
EXP_MBTI_ONBOARDING_001,u_00412,variant,2025-06-26
EXP_MBTI_ONBOARDING_001,u_00413,control,2025-04-07
EXP_MBTI_ONBOARDING_001,u_00414,control,2025-06-19
EXP_MBTI_ONBOARDING_001,u_00415,control,2025-04-05
EXP_MBTI_ONBOARDING_001,u_00416,variant,2025-06-06
EXP_MBTI_ONBOARDING_001,u_00417,control,2025-11-29
